instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ300502,0.2337591749091349,1.0,,2026-04-27,-0.020749912,0.03301786,-0.6284451,0.0065526264,0.19845703,0.005715322,0.17309791,-0.021587215,-0.6538042,1.0211896,1.027881,0.9941636,1.0100557,1.0836434,0.95301026,0.8316161,0.73239714,0.7615237,1.0724014,1.0429814,0.9629432,0.9182915,0.8203776,0.072998516,0.0759875,0.10415594,0.109976195,0.12750259,-0.030936854,0.0100772735,0.015185425,0.010897418,0.006132988,0.44901848,0.16121785,0.74396724,0.7609419,0.7056771,-0.010527713,-0.088329084,-0.10720471,-0.07630408,-0.0013007494,1.166914,1.166914,1.166914,1.166914,1.166914,0.9814311,0.9108178,0.8079925,0.7173412,0.6444984,1.1359959,1.1019622,1.076952,0.99925673,0.9254349,0.9997286,0.99222296,0.8524832,0.8317357,0.71192497,0.4,0.5,0.75,0.8333333,0.9166667,0.10011099,0.3482371,0.53495675,0.62872756,0.68049574,0.6,0.8,0.9,0.93333334,0.96666664,0.8,0.2,0.1,0.06666667,0.35,-0.2,0.6,0.8,0.8666667,0.6166667,-0.53654015,-0.3174744,0.44644284,0.07698047,-0.010724865,-0.41827986,-0.3943173,0.010624233,0.17560111,0.19728804,0.4,0.5,0.55,0.56666666,0.55,0.6,0.5,0.45,0.43333334,0.45,-0.2,0.0,0.1,0.13333334,0.1,0.33318427,0.5480253,0.60573894,0.61603975,0.562527,0.66681576,0.45197466,0.39426106,0.38396025,0.43747303,-0.33363146,0.09605066,0.21147788,0.23207954,0.12505396,1.0702051,0.967866,0.83404624,0.8950505,0.92209625,0.5139741,0.3645612,0.30954236,0.29637754,0.27711904,1.4668764,1.2562711,1.2841446,1.1226015,1.0308934,0.55274427,0.5333438,0.53640133,0.5093091,0.50228554,0.4472557,0.46665624,0.46359867,0.49069086,0.49771446,0.1054886,0.06668753,0.07280264,0.018618267,0.004571104
SH605117,0.2097314926980322,1.0,,2026-04-27,-0.022916766,0.04062493,-0.5641059,0.012916587,0.3179473,0.0047915783,0.117946744,-0.031041775,-0.7641065,1.0234543,1.0366738,0.995096,1.0052896,1.0168427,1.0443503,0.9227448,0.9533738,0.6190563,1.029898,1.0180418,0.96919745,0.9579497,0.84451544,0.022533318,0.025404865,0.06612572,0.058796927,0.14691088,-0.0021329955,0.003750117,0.00893923,0.0042510703,0.007695849,0.022401115,0.19974104,0.6396279,0.405125,0.8369606,-0.025632089,-0.034917407,-0.05412014,-0.019590229,-0.07154299,1.0786862,1.0786862,1.0914007,1.0914007,1.0914007,0.995096,0.96076757,0.85203326,0.85203326,0.590766,1.0463194,1.0342863,1.028007,1.0181512,0.9773463,1.0131413,0.9989908,0.8987853,0.9027391,0.6699771,0.2,0.3,0.6,0.71666664,0.85833335,0.05866673,0.33270776,0.61815715,0.61815715,0.8174302,0.6,0.8,0.5,0.6666667,0.8333333,1.0,0.3,0.25,0.5,0.11666667,-0.4,0.5,0.25,0.16666667,0.71666664,0.037493657,-0.42264196,0.24627338,0.23062961,0.57704663,0.028107224,0.08889069,0.21493118,0.4034253,0.42613095,0.4,0.4,0.5,0.46666667,0.53333336,0.6,0.6,0.5,0.53333336,0.46666667,-0.2,-0.2,0.0,-0.06666667,0.06666667,0.41505936,0.406019,0.5753539,0.5305257,0.62127763,0.5849406,0.593981,0.42464608,0.46947432,0.37872237,-0.16988125,-0.187962,0.15070784,0.06105139,0.24255528,0.7795419,0.972278,1.0018339,1.0764302,0.95833325,0.18775368,0.27026248,0.4312221,0.43342665,0.4299357,0.9436653,0.85533285,1.0911607,1.2738994,1.1097777,0.5602043,0.2320341,0.5064844,0.48565948,0.5097375,0.4397957,0.7679659,0.4935156,0.5143405,0.49026248,0.1204086,-0.53593177,0.012968752,-0.028681042,0.019475028
SZ300476,0.18470745162722563,1.0,,2026-04-27,-0.003891475,0.035808496,-0.10867464,0.026236577,0.73269147,0.005680442,0.15863392,-0.02444761,-0.68273216,1.0039067,1.0302458,0.9942974,1.0126505,1.0806575,0.9333194,0.82046986,0.8709593,0.8605036,1.032527,1.0129148,0.9295104,0.90553975,0.88203007,0.035522465,0.051166613,0.09904794,0.08916146,0.0750105,-0.017073661,0.007729135,0.015457069,0.007433761,0.0025129537,0.5775468,0.20917024,0.85237646,0.5387217,0.34231398,0.0016204057,-0.047695916,-0.07635258,-0.013329306,0.043837823,1.0964059,1.1020501,1.1020501,1.1020501,1.1020501,0.97813374,0.92170805,0.785095,0.785095,0.76474696,1.0526643,1.0526643,1.0312402,0.995437,0.93654364,0.9988592,0.96757454,0.8214063,0.82442373,0.8237233,0.4,0.5,0.75,0.8333333,0.9166667,0.18488069,0.4341304,0.6780298,0.6780298,0.69745284,0.6,0.5,0.75,0.8333333,0.9166667,0.8,0.2,0.1,0.4,0.18333334,-0.2,0.3,0.65,0.43333334,0.73333335,0.3131308,0.2766692,0.8190245,0.7980083,0.76880807,-0.47584662,0.43115744,0.5820323,0.45633993,0.4972451,0.4,0.6,0.6,0.6,0.48333332,0.6,0.4,0.4,0.4,0.51666665,-0.2,0.2,0.2,0.2,-0.033333335,0.25840893,0.5847335,0.6435042,0.5750279,0.54560995,0.74159104,0.41526654,0.3564958,0.42497212,0.45439005,-0.4831821,0.16946693,0.28700837,0.15005577,0.09121992,1.3338686,1.4236196,1.1777889,1.0996048,1.0174901,0.19433959,0.25632665,0.3752934,0.3554103,0.3765008,0.5441602,0.6088693,0.80981076,0.8419175,1.1076908,0.17058884,0.4484423,0.5329614,0.50982255,0.5058808,0.82941115,0.5515577,0.46703857,0.49017742,0.49411923,-0.65882236,-0.10311539,0.06592288,0.019645143,0.011761527
SH601100,0.18331278660349448,1.0,,2026-04-27,-0.005641614,0.029233752,-0.19298288,0.019386558,0.6631567,0.00420558,0.14386041,-0.020822592,-0.71227914,1.0056736,1.0251702,0.9957706,1.0102584,1.0658271,1.0319748,0.98792636,1.111002,1.2181913,1.0222697,1.0521533,1.043569,1.0344559,1.1041656,0.021015817,0.035844963,0.031531665,0.039775953,0.08528042,-0.011504574,-0.010646193,0.00040820162,0.00084560993,-0.003616149,0.74918395,0.8086187,0.005865752,0.03502682,0.54839545,0.000739443,-0.004245438,-0.047446832,-0.046717297,0.0025108268,1.0470482,1.1367912,1.1367912,1.1367912,1.2995652,0.9712233,0.9712233,0.9665812,0.9191287,0.9191287,1.0371046,1.0827128,1.0670229,1.070073,1.18338,0.9998151,1.0270818,1.0106524,0.9973195,1.0334768,0.4,0.2,0.2,0.3,0.15,0.37951535,0.17380612,0.19633849,0.37154436,0.21257503,0.2,0.3,0.65,0.76666665,0.016666668,0.8,0.9,0.05,0.23333333,0.6166667,-0.6,-0.6,0.6,0.53333336,-0.6,-0.4032398,-0.6292879,-0.039906465,-0.42098522,-0.2562998,-0.9808181,-0.12546173,0.20083037,-0.1952131,-0.09703941,0.4,0.4,0.5,0.43333334,0.4,0.6,0.6,0.5,0.56666666,0.5833333,-0.2,-0.2,0.0,-0.13333334,-0.18333334,0.09720822,0.42425084,0.51445967,0.41102114,0.4198089,0.9027918,0.57574916,0.4855403,0.5889789,0.58019114,-0.8055836,-0.15149832,0.02891939,-0.17795774,-0.16038223,1.2271312,0.9989971,0.8969635,0.9571181,0.885381,0.45049298,0.3951372,0.35076663,0.51485884,0.43158382,1.1259716,0.9411678,1.1252271,1.6996003,1.5272337,0.53694624,0.5476714,0.5310211,0.52438486,0.49783662,0.46305373,0.45232865,0.46897888,0.47561514,0.50216335,0.07389252,0.09534272,0.06204222,0.048769712,-0.004326747
SZ300033,0.16447007110224535,1.0,,2026-04-27,-0.0039130957,0.0353043,-0.11083908,0.02782605,0.7881774,0.0035651538,0.10098356,-0.02817399,-0.7980329,1.0039284,1.0318638,0.99642086,1.0125576,1.0759062,1.0260148,0.92265195,0.97557503,1.0982486,1.0354774,1.0418415,0.9927453,0.9813737,1.0080554,0.03822862,0.029360661,0.062046662,0.055421606,0.058361344,-0.02250545,-0.0035617112,0.008241438,0.0036376696,-0.0015070075,0.8664393,0.13489541,0.61750036,0.33387965,0.20336683,0.009533496,-0.025813807,-0.07103895,-0.034119934,0.03640124,1.0903533,1.0997385,1.0997385,1.0997385,1.14467,0.9909202,0.9909202,0.8942616,0.8942616,0.8942616,1.0736095,1.0733913,1.0475428,1.0332853,1.0720558,0.9994935,1.0170752,0.92259216,0.9240762,0.9552336,0.4,0.2,0.55,0.6666667,0.5,0.09131593,0.08344024,0.5145999,0.5145999,0.42226365,0.2,0.5,0.75,0.8333333,0.016666668,0.8,0.9,0.3,0.53333336,0.76666665,-0.6,-0.4,0.45,0.3,-0.75,-0.27691635,-0.07829667,0.6610486,0.5775295,0.40474188,-0.4240838,-0.06744541,0.62855667,0.5431168,0.4775811,0.4,0.6,0.6,0.53333336,0.46666667,0.6,0.4,0.4,0.46666667,0.53333336,-0.2,0.2,0.2,0.06666667,-0.06666667,0.075654015,0.43089,0.58436155,0.5192016,0.45817518,0.92434597,0.56911,0.41563845,0.48079845,0.5418248,-0.84869194,-0.13821998,0.16872309,0.0384031,-0.083649635,1.2119936,1.2291373,1.1269938,1.1160928,1.0631844,0.3825719,0.27624604,0.43904316,0.39467195,0.34562713,1.3345057,0.9651988,1.268293,1.2227306,1.1346934,0.40434036,0.41837046,0.51474756,0.50674343,0.49306217,0.5956597,0.5816296,0.48525244,0.49325657,0.50693786,-0.19131929,-0.1632591,0.029495107,0.01348684,-0.013875684
SZ000708,0.15073924570806668,1.0,,2026-04-27,-0.017408099,0.033526752,-0.51923007,0.015473933,0.46153986,0.0006447217,0.019230066,-0.03223731,-0.96153986,1.0177165,1.0334646,0.9993439,1.0125417,1.1055614,1.1154017,1.0773818,1.1403012,1.0569555,1.0424631,1.0708215,1.0803862,1.0748223,1.0769197,0.039273843,0.039999787,0.032173257,0.029490301,0.050585665,-0.024332779,-0.011250125,-0.0023229022,1.3632422e-05,0.0006333863,0.9596582,0.72512156,0.18244828,1.6561105e-05,0.04781699,0.0062024537,-0.020195998,-0.05831862,-0.07502002,-0.09560457,1.1128414,1.1259632,1.1259632,1.1482145,1.2032822,0.9993439,0.9993439,0.9993439,0.9993439,0.96913373,1.0781274,1.0997168,1.1050843,1.0984048,1.1197257,1.0120472,1.0275831,1.0688833,1.0527806,1.0302073,0.2,0.1,0.05,0.033333335,0.06666667,0.0057811313,0.00518202,0.00518202,0.0044074794,0.13182339,0.2,0.1,0.55,0.033333335,0.33333334,1.0,1.0,1.0,1.0,0.13333334,-0.8,-0.9,-0.45,-0.96666664,0.2,-0.6409235,-0.78263956,-0.5058514,-0.45225036,-0.022968844,-0.9185656,-0.6352569,-0.2256999,-0.48149887,-0.16864142,0.0,0.2,0.45,0.5,0.5,1.0,0.8,0.55,0.5,0.5,-1.0,-0.6,-0.1,0.0,0.0,0.0,0.14495416,0.3818843,0.37042135,0.47525263,1.0,0.85504586,0.6181157,0.62957865,0.5247474,-1.0,-0.7100917,-0.2362314,-0.2591573,-0.04949472,1.0418283,0.8670678,0.9163079,1.0438315,1.2544774,0.34850353,0.30604833,0.24476987,0.3700844,0.57131934,0.9900965,1.1618071,0.9775576,1.2120675,1.7149618,0.5960235,0.56088763,0.54328215,0.48659727,0.49536058,0.40397647,0.4391124,0.45671788,0.5134027,0.5046394,0.19204704,0.12177522,0.08656426,-0.026805433,-0.009278822
SZ300316,0.1423813662327002,1.0,,2026-04-27,-0.008501793,0.042049643,-0.20218468,0.021139711,0.5027323,0.012408138,0.29508308,-0.017233368,-0.40983385,1.0085747,1.0298957,0.98748547,1.0083425,1.0484304,0.98144853,1.0069357,1.094077,1.002088,1.0199289,1.0269032,0.99774885,1.0112972,1.0976309,0.019008633,0.02767488,0.037672553,0.039053537,0.11600365,-0.010917251,-0.0011862888,0.004439462,-0.0007286052,-0.004538148,0.8246408,0.016843049,0.48604736,0.02697525,0.4667818,0.0019055603,-0.02156482,-0.03992373,-0.0007324415,0.03624452,1.0586323,1.0787895,1.0787895,1.105435,1.5272208,0.98748547,0.9652247,0.922817,0.922817,0.922817,1.0387491,1.0501008,1.0387491,1.0489392,1.2068542,1.007219,1.0051838,0.95995003,0.9767735,1.0038974,0.2,0.2,0.55,0.4,0.2,0.17589734,0.3062155,0.49485022,0.42264742,0.12770106,0.2,0.5,0.75,0.06666667,0.15,1.0,0.1,0.4,0.6,0.8,-0.8,0.4,0.35,-0.53333336,-0.65,0.12236471,0.50590223,0.6536334,0.4673599,0.70662683,-0.2715848,0.336329,0.18889341,0.32257035,0.50490725,0.2,0.5,0.5,0.43333334,0.45,0.8,0.5,0.5,0.56666666,0.55,-0.6,0.0,0.0,-0.13333334,-0.1,0.08374514,0.55497104,0.49164984,0.4234016,0.49952716,0.9162549,0.44502893,0.5083502,0.5765984,0.50047284,-0.83250976,0.109942116,-0.016700331,-0.15319683,-0.0009456938,0.96566176,1.241729,1.0411026,1.0258145,1.5214863,0.14097106,0.38496694,0.4146377,0.40800488,0.8820044,1.1337937,1.199791,1.0539826,1.0684748,2.0126932,0.36285442,0.5273017,0.5267267,0.4984437,0.4796311,0.6371456,0.47269827,0.4732733,0.5015563,0.5203689,-0.2742912,0.054603457,0.0534534,-0.0031125864,-0.040737778
SZ000001,0.14108640118572577,0.875,,2026-04-27,0.004413005,0.024713112,0.17856938,0.016769653,0.67857313,0.0035304534,0.1428575,-0.008826195,-0.35714626,0.99560636,1.016696,0.9920914,1.0054399,0.97188395,0.97275895,0.9683646,0.9604573,0.97275895,0.9743417,0.9752219,0.97583693,0.9692169,0.9640178,0.014735292,0.01095826,0.009107537,0.0145853525,0.012906293,0.005447568,-5.3740405e-05,-7.935619e-05,0.0008572346,0.00031947924,0.34168652,0.00022046016,0.0026572223,0.2677116,0.1868883,0.0147631755,0.025019964,0.024916932,0.018353196,0.026557578,1.016696,1.016696,1.016696,1.016696,1.016696,0.9595783,0.9595783,0.9595783,0.9165193,0.9165193,0.9789123,0.9822515,0.9822515,0.9776809,0.9736404,0.96625686,0.96660817,0.96731335,0.9613388,0.95430654,1.0,1.0,1.0,1.0,1.0,0.70769167,0.70769167,0.70769167,0.83333474,0.83333474,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.95,0.2,0.6,0.2,0.1,0.05,0.8,0.4,0.965599,0.62347704,0.5944549,-0.02528811,-0.0880226,0.9444516,0.8165625,0.7716237,0.3833145,0.26236454,0.6,0.6,0.5,0.46666667,0.46666667,0.2,0.3,0.45,0.46666667,0.48333332,0.4,0.3,0.05,0.0,-0.016666668,0.8076592,0.67031336,0.59999985,0.5732888,0.53235906,0.19234076,0.32968664,0.40000015,0.4267112,0.4676409,0.6153185,0.3406267,0.19999969,0.14657757,0.06471818,0.36915854,0.27376804,0.2476233,0.2601498,0.25793073,0.3540502,0.25734794,0.18672162,0.1628251,0.13028459,2.0158794,2.4188364,2.362663,1.9694059,2.0313349,0.9219402,0.9055365,0.7061565,0.6412493,0.58050185,0.0780598,0.09446356,0.2938435,0.35875067,0.41949818,0.8438804,0.8110729,0.41231295,0.28249866,0.16100366
SZ000807,0.1401451505838304,1.0,,2026-04-27,-0.022514593,0.035087757,-0.6416652,0.010233955,0.29166743,0.0023392083,0.06666737,-0.03040934,-0.86666524,1.0230331,1.0335028,0.99760693,1.0157924,1.0511564,1.0278262,0.85941106,1.0394913,0.9781684,1.0154239,1.0410304,1.0158452,0.9709358,0.97717947,0.012690624,0.03360958,0.04772269,0.082977585,0.06829954,-0.005715089,-0.007983436,0.0045342394,0.006736357,0.0005631658,0.50701404,0.5172076,0.3159564,0.5107758,0.020736566,-0.003993716,-0.005104983,-0.058920417,-0.06861297,0.006207139,1.0469707,1.101712,1.101712,1.101712,1.1435608,0.99459064,0.99459064,0.9036755,0.7965716,0.7965716,1.0244563,1.0697963,1.0536677,1.0359513,1.0316254,1.0028515,1.018405,0.9731702,0.8682571,0.93209124,0.2,0.1,0.35,0.53333336,0.5833333,0.10327103,0.050497405,0.48639783,0.66667163,0.58626723,0.2,0.4,0.7,0.8,0.083333336,0.6,0.8,0.05,0.23333333,0.6166667,-0.4,-0.4,0.65,0.56666666,-0.53333336,-0.09106728,0.013439183,-0.25944057,-0.19399121,0.20041938,0.8151965,0.27557075,0.6741802,0.51000625,0.44557598,0.2,0.4,0.5,0.43333334,0.48333332,0.8,0.6,0.5,0.56666666,0.5,-0.6,-0.2,0.0,-0.13333334,-0.016666668,0.21018825,0.44872373,0.6212534,0.47709438,0.5065067,0.78981173,0.55127627,0.37874663,0.5229056,0.49349332,-0.5796235,-0.10255251,0.24250671,-0.045811217,0.013013347,1.0116502,1.0049192,1.1231506,1.1743479,1.3356518,0.32623675,0.24272346,0.35396236,0.3496769,0.5207281,0.52578634,0.7018356,1.1803325,1.0141803,1.128976,0.44903758,0.5141444,0.5120085,0.47782972,0.50329137,0.5509624,0.48585558,0.48799148,0.52217025,0.49670863,-0.10192482,0.028288836,0.024017036,-0.044340525,0.006582711
SH601689,0.13877757666263696,1.0,,2026-04-27,0.037213393,0.051851917,0.71768594,0.012169374,0.2346948,0.0024691501,0.047619265,0.027513167,0.53061044,0.96412176,1.0117328,0.9617412,0.9934753,1.029967,1.0116049,0.9826662,1.0733014,1.3933161,0.9963717,1.0114727,1.0016379,1.0028914,1.0943947,0.021382034,0.02330399,0.024346808,0.027585626,0.1099268,-0.008204194,-0.00497045,0.0014205914,-0.00010011467,-0.0056157215,0.3680559,0.417006,0.11915776,0.0010207784,0.795983,0.02003671,0.010894372,-0.015133528,-0.0014397622,0.07126911,1.0402807,1.0487978,1.0487978,1.0775563,1.4385453,0.95226187,0.95226187,0.9513711,0.94030374,0.94030374,1.0149541,1.0313184,1.0221521,1.0276165,1.2188762,0.98163795,0.9971502,0.9794638,0.9794638,0.9915681,0.6,0.3,0.5,0.53333336,0.26666668,0.54236263,0.4945109,0.4991329,0.43493742,0.11981384,0.2,0.3,0.65,0.06666667,0.033333335,0.8,0.9,0.3,0.23333333,0.6166667,-0.6,-0.6,0.35,-0.16666667,-0.5833333,0.029997656,0.14830296,0.60510784,0.024849495,0.31457174,0.16414091,0.4263513,0.6565868,0.5581831,0.35519364,0.2,0.3,0.3,0.33333334,0.3,0.8,0.7,0.7,0.6666667,0.7,-0.6,-0.4,-0.4,-0.33333334,-0.4,0.3495575,0.46571162,0.5223654,0.4294201,0.3349362,0.6504425,0.53428835,0.47763458,0.5705799,0.6650638,-0.300885,-0.068576746,0.044730816,-0.14115977,-0.3301276,0.91052675,0.9036583,0.80715513,0.77358425,0.79096776,0.16196279,0.17603539,0.21122183,0.21211728,0.25329235,0.7400147,0.89395607,0.94619244,0.9917033,1.2003418,0.57365245,0.5760389,0.53926957,0.54536057,0.49639627,0.42634755,0.42396113,0.46073043,0.45463943,0.50360376,0.14730489,0.15207775,0.0785391,0.090721145,-0.007207483
