instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ000708,0.16513772806052318,1.0,,2026-03-17,-0.01137042,0.027528428,-0.41304287,0.0149611095,0.54347855,0.0011968964,0.04347856,-0.025134634,-0.9130429,1.0115012,1.0266343,0.9987893,1.0099419,1.0537827,1.0726272,0.9407153,0.96726274,0.92668504,1.0325447,1.0461485,1.0267195,0.9969693,0.9763411,0.036341056,0.028501209,0.048795942,0.06033855,0.049260724,-0.019972498,-0.0067483643,0.0041647083,0.0050653554,0.0018417543,0.75510895,0.51390386,0.2549587,0.546175,0.42634547,0.0074002873,-0.015780915,-0.06628413,-0.070416935,-0.03067288,1.0804431,1.0864673,1.1100981,1.1100981,1.1100981,0.9812097,0.9812097,0.93405336,0.89408255,0.89408255,1.0618707,1.062916,1.0659422,1.0618707,1.0097936,0.9973315,1.0415956,0.9712517,0.9399725,0.9455571,0.4,0.2,0.4,0.6,0.8,0.18935469,0.1785175,0.37460142,0.49032325,0.49032325,0.6,0.1,0.4,0.6,0.8,0.8,0.9,0.05,0.2,0.6,-0.2,-0.8,0.35,0.4,0.2,-0.9759574,-0.79396635,0.4544248,0.09153204,0.14527115,-0.96176606,-0.7524473,0.06654418,-0.06489734,-0.08790191,0.4,0.4,0.5,0.53333336,0.55,0.6,0.6,0.5,0.46666667,0.45,-0.2,-0.2,0.0,0.06666667,0.1,0.22425982,0.239645,0.57771367,0.5258583,0.54274255,0.7757402,0.760355,0.42228636,0.47414172,0.45725742,-0.55148035,-0.52071,0.15542729,0.051716585,0.08548515,0.71142924,0.6678539,0.7157064,0.76626647,0.672882,0.28063735,0.2271647,0.3085607,0.3388592,0.2992253,1.5211456,1.6462095,1.2824515,1.5941755,1.9308788,0.880928,0.48303035,0.58342886,0.528215,0.5168149,0.11907199,0.5169697,0.41657117,0.47178504,0.4831851,0.761856,-0.033939324,0.16685767,0.056429937,0.03362977
SZ002074,0.15978707528628028,1.0,,2026-03-17,-0.02757734,0.0430413,-0.6407181,0.0146907605,0.34131777,0.0007731979,0.017964095,-0.041494902,-0.9640718,1.0283594,1.0434668,0.9992049,1.0204918,1.0087852,0.9604957,0.98493135,1.0696998,1.0204213,1.0243542,1.0011345,0.9959914,0.9975739,1.0253326,0.013873954,0.031013599,0.024987563,0.02264963,0.038924884,-0.0069001634,0.007983369,0.0017852094,0.0001326816,-0.0010182138,0.61838394,0.6074067,0.17864816,0.0026595055,0.20870033,-0.010553882,-0.037059687,-0.012950903,0.0005022059,0.0047046863,1.0511926,1.0511926,1.0511926,1.0678774,1.1208661,0.9992049,0.92472833,0.92472833,0.92472833,0.92472833,1.0327438,1.0300791,1.0199674,1.0185362,1.0623109,1.0212241,0.96594137,0.97452873,0.9779265,0.9899814,0.2,0.45,0.575,0.55,0.30833334,0.015294461,0.59520066,0.59520066,0.52582693,0.38376948,0.2,0.6,0.8,0.033333335,0.28333333,1.0,0.4,0.7,0.8,0.9,-0.8,0.2,0.1,-0.76666665,-0.6166667,0.51404506,0.7473209,0.5844604,0.6075285,0.6714412,0.48064682,0.69487584,0.5451586,0.38629147,0.3973043,0.6,0.6,0.45,0.4,0.5,0.4,0.4,0.55,0.6,0.5,0.2,0.2,-0.1,-0.2,0.0,0.43067023,0.6424675,0.5276768,0.41692093,0.4887895,0.5693298,0.3575325,0.47232315,0.5830791,0.5112105,-0.13865957,0.284935,0.055353694,-0.16615815,-0.022421002,1.317216,1.1618563,1.0178996,1.0384718,1.1626925,0.44270384,0.4574476,0.38065866,0.36829272,0.42862406,1.1574203,1.2021365,1.079801,1.0470611,0.9853804,0.45313287,0.47613248,0.51805824,0.467778,0.50047493,0.54686713,0.5238675,0.48194176,0.53222203,0.4995251,-0.09373428,-0.047735006,0.036116503,-0.06444402,0.00094981224
SZ003816,0.15535677441309337,1.0,,2026-03-17,-0.016548434,0.028368734,-0.5833336,0.0070921616,0.24999924,0.0047281366,0.16666718,-0.01891246,-0.6666657,1.0168269,1.0240384,0.9951923,1.0079174,1.0164609,0.9650206,0.9423868,0.93621397,0.90946496,1.0316873,1.013786,0.97839504,0.9628944,0.9441358,0.02252124,0.026351202,0.04210771,0.04106164,0.03528036,-0.013374488,0.0050006243,0.006466784,0.0040772324,0.0015196837,0.8816774,0.33011025,0.8255085,0.76411736,0.56590074,-0.0049382513,-0.03628879,-0.03982949,-0.022014227,0.011033549,1.0562414,1.0562414,1.0562414,1.0562414,1.0562414,0.9951923,0.9492201,0.919753,0.90707064,0.9005469,1.0497942,1.0427984,1.0164609,1.0004115,0.95185184,1.0131687,0.9962963,0.9378601,0.92962956,0.9218107,0.2,0.4,0.7,0.8,0.9,0.07875127,0.47448394,0.58793986,0.62297285,0.6387707,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.2,0.1,0.25,-0.6,0.6,0.65,0.8,0.7,0.95337796,0.49759725,0.67975587,0.55744064,0.63576424,0.87092495,0.38834706,0.14730047,0.2486819,0.24685313,0.4,0.7,0.55,0.46666667,0.5,0.6,0.3,0.4,0.36666667,0.36666667,-0.2,0.4,0.15,0.1,0.13333334,0.4047624,0.6268656,0.6272727,0.6115109,0.5909091,0.5952376,0.37313437,0.37272727,0.38848913,0.40909088,-0.19047523,0.25373125,0.25454542,0.22302173,0.18181823,1.3430643,1.3106114,1.1076921,1.065525,0.8924518,0.23302498,0.19882949,0.38209346,0.35667637,0.3352916,0.8045371,0.7747914,0.959983,1.0712523,1.1247722,0.3673686,0.41330522,0.5521336,0.5043267,0.51895154,0.6326314,0.5866948,0.4478664,0.4956733,0.4810485,-0.2652628,-0.17338955,0.104267195,0.008653386,0.03790302
SZ300750,0.14701384697620248,1.0,,2026-03-17,-0.025927193,0.03713503,-0.69818693,0.010149546,0.2733146,0.0010582916,0.02849847,-0.035018448,-0.94300306,1.0266173,1.037037,0.9989135,1.014758,0.9291319,0.8495549,0.91065913,0.84456366,0.9604687,0.9889832,0.93343365,0.9075306,0.8958891,0.9001535,0.014269468,0.06340847,0.055479053,0.050657243,0.042353373,0.0072347503,0.020166,0.005265247,0.0034512552,-0.00021155525,0.64264554,0.92716384,0.3152445,0.35972673,0.0076097683,-0.0034527273,-0.024180677,0.042449538,0.054067727,0.10608737,1.037037,1.037037,1.037037,1.037037,1.037037,0.93575203,0.82517606,0.82517606,0.8222478,0.8222478,1.0016775,0.98419267,0.97717917,0.92827773,0.92827773,0.97910875,0.8737445,0.8533627,0.8485361,0.860991,0.8,0.9,0.95,0.96666664,0.98333335,0.6343288,0.8251825,0.8251825,0.8275658,0.8275658,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.55,0.06666667,0.53333336,0.8,0.9,0.45,0.93333334,0.46666667,-0.062968865,0.5584454,0.34653386,0.1452397,-0.16925621,0.45770252,0.5900935,0.1528479,0.31587502,0.24894036,0.6,0.7,0.55,0.53333336,0.43333334,0.4,0.3,0.45,0.46666667,0.56666666,0.2,0.4,0.1,0.06666667,-0.13333334,0.8766577,0.8776234,0.63363487,0.67844164,0.52827936,0.123342305,0.122376606,0.36636516,0.3215584,0.47172067,0.7533154,0.75524676,0.26726967,0.35688326,0.05655869,1.087613,0.9873485,0.86477065,0.91983443,0.8590627,0.30009148,0.30982393,0.29828027,0.28718668,0.2645229,1.3568851,1.1763701,1.2615185,1.3059452,1.3879167,0.3355419,0.48092502,0.5223453,0.5041977,0.5079094,0.6644581,0.519075,0.4776547,0.4958023,0.49209058,-0.3289162,-0.03814995,0.044690605,0.008395377,0.015818855
SZ002371,0.14529829406020559,1.0,,2026-03-17,-0.0131795835,0.033683475,-0.3912774,0.018311001,0.54361975,0.0021928905,0.06510285,-0.029297695,-0.8697943,1.0133556,1.0319111,0.9977778,1.0159585,1.0155575,0.9914659,1.0755577,1.102712,1.0068892,1.0144763,1.0161494,1.038644,1.0466409,1.0590627,0.009920711,0.01330801,0.03306688,0.033117395,0.048741747,-0.0060578356,-0.0011668688,-0.0041856715,-0.0024840394,-0.00021825083,0.9321577,0.07047406,0.5608051,0.4360199,0.0061151832,-0.0023606573,-0.010898518,0.001119876,-0.01062236,-0.05262435,1.0326676,1.0494659,1.1104012,1.1286237,1.1866671,0.98229027,0.9677783,0.9677783,0.9677783,0.9677783,1.0195341,1.0281515,1.0745426,1.0764999,1.1056377,1.0083745,1.0046937,1.009548,1.0171212,1.014713,0.2,0.2,0.15,0.1,0.13333334,0.35154107,0.39444992,0.22592217,0.20032685,0.14720567,0.6,0.2,0.3,0.033333335,0.4,0.8,0.4,0.7,0.8,0.9,-0.2,-0.2,-0.4,-0.76666665,-0.5,0.6148034,-0.114785746,0.02679669,0.21304011,0.5060012,0.6868464,-0.23013872,0.04024783,-0.017354373,0.14871533,0.2,0.4,0.4,0.43333334,0.46666667,0.8,0.6,0.6,0.56666666,0.53333336,-0.6,-0.2,-0.2,-0.13333334,-0.06666667,0.29384345,0.534849,0.3740144,0.389532,0.49671152,0.70615655,0.46515098,0.6259856,0.610468,0.5032885,-0.4123131,0.06969801,-0.2519712,-0.220936,-0.0065769725,1.2131754,1.2329594,1.2797173,1.4111847,1.5527545,0.13410969,0.26255614,0.32631743,0.40395203,0.5162563,0.57019216,1.1588165,1.0128642,1.2132455,1.1641796,0.49571213,0.43839493,0.48004413,0.4694077,0.50020766,0.5042879,0.5616051,0.5199559,0.5305923,0.49979234,-0.008575741,-0.12321016,-0.039911777,-0.061184596,0.0004153425
SH600160,0.1361693373303677,1.0,,2026-03-17,-0.009162217,0.032460693,-0.28225577,0.021989554,0.677421,0.0013089214,0.040323272,-0.02984285,-0.9193534,1.009247,1.0314398,0.998679,1.0146106,1.0935262,1.1136209,1.0443853,1.0384876,0.9464297,1.0298063,1.0632538,1.0711821,1.0574049,1.0239888,0.03113885,0.04304319,0.038945943,0.04077979,0.049863555,-0.019180821,-0.012313636,-0.0015084937,0.0012295117,0.0021517936,0.9485698,0.75019675,0.05250861,0.07044935,0.5679821,0.008555426,-0.007842405,-0.056851383,-0.075232804,-0.08746671,1.095648,1.1413463,1.1603765,1.1603765,1.1603765,0.98125684,0.98125684,0.98125684,0.9799351,0.91933566,1.0528941,1.0943748,1.0980301,1.0918479,1.0742476,1.0033941,1.0192367,1.0431172,1.0192367,0.9861528,0.2,0.1,0.05,0.13333334,0.38333333,0.16385157,0.11707932,0.10464046,0.11119895,0.33464992,0.2,0.3,0.45,0.6333333,0.81666666,0.8,0.9,0.95,0.3,0.05,-0.6,-0.6,-0.5,0.33333334,0.76666665,-0.102070875,-0.096824035,0.3791263,0.2586069,0.34925562,-0.61160845,-0.16757026,0.3762428,0.3518351,0.21686585,0.0,0.3,0.5,0.5,0.51666665,1.0,0.7,0.5,0.5,0.48333332,-1.0,-0.4,0.0,0.0,0.033333335,0.0,0.25947508,0.4477613,0.46874174,0.5252895,1.0,0.74052495,0.5522387,0.5312583,0.47471052,-1.0,-0.48104984,-0.10447743,-0.06251654,0.05057893,1.2610394,1.253107,1.2415684,1.3043983,1.3080155,0.25467327,0.2589172,0.3284977,0.35686594,0.48946533,0.51736903,0.616049,0.8689254,0.8757565,0.9519589,0.5144563,0.4168245,0.49500883,0.44505647,0.49980685,0.48554373,0.5831755,0.5049912,0.5549435,0.5001932,0.028912572,-0.166351,-0.0099823335,-0.10988703,-0.00038631365
SH600025,0.133727290968182,1.0,,2026-03-17,-0.010556633,0.023992294,-0.44000098,0.010556633,0.44000098,0.002879029,0.11999807,-0.018234236,-0.76000386,1.0106692,1.0213386,0.9970903,1.0076284,1.0055119,0.9511811,0.8866142,0.88267714,0.91653544,1.0152756,1.003622,0.9518504,0.92790025,0.9107218,0.010425276,0.01778281,0.057100847,0.05778716,0.044680454,-0.006141744,0.0039608665,0.00911669,0.005964457,0.0015199541,0.86765736,0.45476922,0.89218974,0.8256212,0.35296014,-0.0029920985,-0.021445952,-0.038458947,-0.014384897,0.04443956,1.0338094,1.0338094,1.0338094,1.0338094,1.0338094,0.9937493,0.9332158,0.8728635,0.8592856,0.8592856,1.0234646,1.0184252,1.0064567,1.0011023,0.9176378,1.008189,0.99527556,0.88818896,0.88,0.88267714,0.2,0.4,0.7,0.8,0.9,0.15603279,0.66390073,0.78993285,0.80627596,0.80627596,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.1,0.2,0.1,0.55,0.4,0.7,0.7,0.8333333,0.41666666,0.6871142,-0.55128235,0.73650414,0.69452536,0.6436758,0.4131862,0.4719416,0.56182265,0.5536642,0.34739473,0.4,0.6,0.6,0.56666666,0.48333332,0.6,0.3,0.35,0.4,0.46666667,-0.2,0.3,0.25,0.16666667,0.016666668,0.4406772,0.7421875,0.79268295,0.73354256,0.6104167,0.5593228,0.2578125,0.20731704,0.26645747,0.3895833,-0.11864561,0.48437503,0.5853659,0.46708506,0.22083339,1.1849288,1.4525999,1.1459253,1.0251926,0.86095613,0.17863494,0.38369852,0.55400085,0.49092543,0.41404974,0.73261535,0.8926714,1.055835,1.1672645,1.3798199,0.3028125,0.33416978,0.5473114,0.509421,0.5181181,0.69718754,0.66583025,0.4526886,0.49057898,0.48188192,-0.39437506,-0.33166048,0.09462281,0.018842023,0.036236156
SH600011,0.1314052593096731,1.0,,2026-03-17,-0.017060308,0.030183665,-0.5652166,0.011811013,0.39130482,0.0013123438,0.043478608,-0.027558977,-0.9130428,1.0173564,1.0293725,0.99866486,1.0123005,1.0040383,0.9919233,0.9293286,0.98662287,1.0441695,1.0300353,1.0167844,0.9824331,0.9659347,0.9904215,0.02134737,0.021397889,0.041955635,0.042245112,0.044648673,-0.009111551,0.003495328,0.0065308395,0.004009671,-0.0010778622,0.45544487,0.24459378,0.8480578,0.6981781,0.17774986,-0.0118122045,-0.032513402,-0.044476066,-0.024074923,0.041375462,1.0682374,1.0682374,1.0682374,1.0682374,1.0856037,0.9868003,0.97327214,0.92124456,0.90667766,0.90667766,1.0490156,1.033266,1.0169611,1.0056537,1.0363957,1.0161535,0.9997476,0.9316002,0.92877334,0.9424028,0.2,0.3,0.65,0.76666665,0.65833336,0.16208458,0.281449,0.5357774,0.5776337,0.52156925,0.6,0.8,0.9,0.93333334,0.18333334,0.2,0.1,0.2,0.2,0.6,0.4,0.7,0.7,0.73333335,-0.41666666,0.7993011,0.6688632,0.66360986,0.6944629,-0.020093255,0.70438164,0.5488014,0.15637718,0.018769978,-0.17400976,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.4,0.46666667,0.43333334,-0.2,-0.2,0.1,-0.06666667,0.06666667,0.4798995,0.5273972,0.6508621,0.5201829,0.4638281,0.5201005,0.47260278,0.3491379,0.4798171,0.5361719,-0.040201005,0.05479446,0.30172417,0.040365793,-0.07234383,1.46472,1.3382264,1.2274555,1.0725901,0.88997334,0.29953352,0.24844718,0.5600713,0.5266445,0.46004987,0.5112213,0.69093275,0.9387613,1.0322896,1.3960403,0.45177302,0.30366763,0.53841907,0.50845075,0.5212083,0.54822695,0.6963324,0.46158093,0.49154925,0.47879174,-0.096453935,-0.39266473,0.07683811,0.016901482,0.042416517
SZ300014,0.12480297831329336,0.875,,2026-03-17,-0.015494945,0.04232427,-0.36610067,0.024820704,0.5864414,0.0020086232,0.04745795,-0.038307026,-0.90508413,1.0157388,1.0409502,0.9979598,1.017479,0.9178065,0.8972621,0.9354409,0.9586098,1.027538,1.0021852,0.9483654,0.9357311,0.9299751,0.96382725,0.011427411,0.05837436,0.04459609,0.038252205,0.04694477,0.0031478747,0.017761096,0.0035500755,0.0018640358,-0.0016935912,0.18970518,0.8486072,0.22179389,0.18403366,0.39695615,-0.008481021,-0.028290333,0.030543182,0.042996414,0.08613371,1.046776,1.046776,1.046776,1.046776,1.0693632,0.9137251,0.8504758,0.8504758,0.8504758,0.8504758,1.0093564,1.0013702,0.99125415,0.9495199,1.0056772,0.9934426,0.88551104,0.89679426,0.89737624,0.9176606,0.6,0.8,0.9,0.93333334,0.725,0.6484353,0.7617119,0.7617119,0.7617119,0.6831101,0.8,0.9,0.95,0.96666664,0.18333334,0.2,0.4,0.7,0.8,0.9,0.6,0.5,0.25,0.16666667,-0.71666664,-0.26087967,0.8679886,0.65343255,0.5532703,0.12129562,0.8911192,0.8679349,0.56178063,0.5501411,0.44686595,0.6,0.5,0.55,0.53333336,0.53333336,0.4,0.5,0.45,0.46666667,0.46666667,0.2,0.0,0.1,0.06666667,0.06666667,0.7808908,0.75195414,0.59209573,0.536355,0.48725796,0.21910918,0.24804589,0.40790427,0.46364495,0.51274204,0.56178164,0.5039082,0.1841915,0.07271008,-0.025484081,1.3185947,0.9677838,0.81684023,0.8199326,0.7965924,0.36838987,0.46045953,0.39311364,0.34647056,0.29471844,1.2398152,1.5676011,1.6737754,1.4191227,1.3019818,0.56962466,0.49694115,0.5335988,0.5035029,0.51487106,0.43037534,0.50305885,0.4664012,0.4964971,0.48512897,0.13924931,-0.006117677,0.0671976,0.0070058033,0.029742073
SZ002311,0.12258501361901342,1.0,,2026-03-17,-0.032906175,0.03550392,-0.92683214,0.0020782147,0.058534794,0.00051953207,0.014633091,-0.034464855,-0.9707338,1.0340258,1.0361748,0.9994628,1.0165979,0.97277224,0.9679268,0.9634503,0.92980295,0.9684679,1.0086972,0.99114543,0.978995,0.96443415,0.96093374,0.017804334,0.024648355,0.02200326,0.031208843,0.026645299,0.005088907,0.006341895,0.0026828893,0.003018968,0.0003985611,0.20423852,0.6068393,0.52035475,0.7252093,0.06824148,-0.01887497,-0.019683968,-0.0044824546,-0.0082092015,0.0273087,1.0521035,1.0521035,1.0521035,1.0521035,1.0521035,0.960052,0.943039,0.942143,0.88109344,0.88109344,1.0164055,1.0118455,0.99512017,0.9823745,0.98098236,0.9971321,0.97269845,0.9648277,0.9443294,0.9438277,0.4,0.7,0.85,0.9,0.93333334,0.43397427,0.5222688,0.52616155,0.69531894,0.69531894,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.2,0.25,0.06666667,0.53333336,0.6,0.7,0.7,0.9,0.45,0.85973364,0.5381518,0.5410279,-0.10275773,-0.15020539,0.8544408,0.65147364,0.3316011,0.3993624,0.24889621,0.8,0.6,0.5,0.5,0.43333334,0.2,0.4,0.5,0.5,0.53333336,0.6,0.2,0.0,0.0,-0.1,0.6429123,0.583934,0.56146604,0.57721865,0.52007395,0.35708764,0.416066,0.438534,0.42278132,0.47992605,0.28582472,0.16786799,0.12293205,0.15443733,0.040147893,1.1045353,1.0720083,0.9293232,1.0674578,1.0157039,0.30136627,0.25816944,0.2724148,0.373477,0.33574367,0.7161879,0.81558466,0.9722873,0.98868096,1.0159113,0.5648694,0.4609181,0.47437793,0.47512025,0.50378823,0.43513063,0.53908193,0.52562207,0.52487975,0.49621177,0.12973875,-0.07816381,-0.051244143,-0.049759522,0.007576464
