instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ002463,0.22587209816627665,1.0,,2026-04-30,-0.010133225,0.033391263,-0.30346933,0.019687338,0.5895955,0.0035707015,0.1069352,-0.026249861,-0.7861296,1.010237,1.0301259,0.9963927,1.008571,1.0394813,0.9203455,0.7730132,0.8871837,0.6979628,1.0017635,0.99358433,0.91632515,0.87404436,0.8031818,0.012298865,0.027510207,0.096811704,0.10049662,0.1094878,-0.0025247533,0.004912896,0.015161219,0.009836044,0.00546182,0.10535322,0.29234716,0.8583819,0.7424031,0.7590024,0.0032860811,-0.015692359,-0.060356736,-0.016667001,0.0356945,1.0513656,1.0652196,1.0652196,1.0652196,1.0652196,0.96565723,0.9125407,0.7344233,0.7344233,0.6335127,1.0046402,1.0100809,0.99850744,0.99345195,0.90770674,0.9940297,0.96963686,0.83342063,0.7728206,0.7040414,0.8,0.7,0.85,0.9,0.95,0.40069342,0.5728314,0.8028404,0.8028404,0.84892607,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.1,0.15,0.43333334,0.11666667,-0.6,0.4,0.6,0.4,0.8,0.30213362,-0.016565131,0.1840405,0.1628496,0.364714,-0.14805011,0.49416563,0.47290295,0.39150634,0.33970436,0.6,0.8,0.8,0.6666667,0.6166667,0.4,0.2,0.2,0.33333334,0.38333333,0.2,0.6,0.6,0.33333334,0.23333333,0.30852282,0.6792146,0.71774143,0.5726578,0.6067925,0.6914772,0.3207854,0.28225854,0.42734218,0.39320752,-0.38295436,0.35842922,0.4354829,0.14531566,0.21358496,1.3450599,1.5494267,1.6431831,1.6446029,1.6650337,0.39370647,0.38186824,0.480519,0.44301474,0.62477636,0.99513453,0.7490589,1.106752,0.96767527,1.0895747,0.041042924,0.3764454,0.47195038,0.39100096,0.48921192,0.9589571,0.6235546,0.5280496,0.6089991,0.5107881,-0.91791415,-0.24710914,-0.056099214,-0.2179981,-0.021576144
SZ300502,0.20910613917416854,1.0,,2026-04-30,-0.042276878,0.0564663,-0.74870986,0.0,0.0,0.014189423,0.2512901,-0.028087454,-0.49741977,1.0441431,1.0441431,0.9851842,1.007122,1.156887,1.0222714,0.87601453,0.8195279,0.75931376,1.0169531,1.075526,1.007788,0.9627426,0.8529751,0.009639199,0.06641635,0.092623994,0.100000896,0.13374124,-0.004556988,-0.01649732,0.010248052,0.008981949,0.0065884474,0.5587453,0.5655724,0.42845348,0.6252231,0.74017656,-0.007839185,-0.0012880536,-0.10514449,-0.09298088,-0.04733425,1.0777304,1.1940122,1.1940122,1.1940122,1.1940122,0.983301,0.983301,0.8390993,0.81212926,0.65946496,1.0221113,1.1275519,1.1019609,1.0224615,0.9899386,1.0147128,1.0207336,0.942551,0.87126696,0.729949,0.2,0.1,0.5,0.6666667,0.8333333,0.17684127,0.079250745,0.45335272,0.4919591,0.6370533,0.2,0.5,0.75,0.8333333,0.9166667,0.6,0.8,0.15,0.033333335,0.3,-0.4,-0.3,0.6,0.8,0.6166667,0.43040964,-0.035346884,0.29814467,0.17932245,-0.075205125,-0.96660477,-0.3494954,0.032120734,0.1154633,0.21178727,0.4,0.4,0.5,0.53333336,0.53333336,0.6,0.6,0.5,0.46666667,0.46666667,-0.2,-0.2,0.0,0.06666667,0.06666667,0.026079778,0.47180578,0.58161265,0.5861124,0.56337994,0.9739202,0.52819425,0.41838738,0.41388762,0.43662006,-0.94784045,-0.056388438,0.16322525,0.17222479,0.12675986,1.5343701,1.3899854,1.3062893,1.3205991,1.4121591,0.8684671,0.6132406,0.47105074,0.45319408,0.4352318,2.01166,1.6369904,1.3813243,1.2899082,1.0757719,0.457648,0.46078333,0.49784693,0.4522528,0.49154583,0.54235196,0.53921664,0.50215304,0.5477472,0.50845414,-0.08470397,-0.07843332,-0.0043061106,-0.09549441,-0.016908323
SH601689,0.17696595555749772,0.75,,2026-04-30,0.045731228,0.05877235,0.7781079,0.012867232,0.21893342,0.00017389102,0.0029587215,0.033037886,0.56213313,0.95626867,1.0123045,0.9561024,0.9985507,0.96394455,1.0169504,0.9757236,1.0242764,1.2528908,0.96428925,0.97923577,0.9807333,0.9744978,1.0532583,0.024536122,0.026064074,0.024238022,0.022948356,0.09421351,0.009186238,-0.004806087,-0.00015363557,0.000735877,-0.004739685,0.35043183,0.31168082,0.001406233,0.07969095,0.7719202,0.017338248,0.042391624,0.02072626,0.014831989,0.08656235,1.0123045,1.0214827,1.0255967,1.0255967,1.2548841,0.9311962,0.9311962,0.9303251,0.9195026,0.9195026,0.9823026,1.0014365,1.0008619,0.99472815,1.166444,0.9435323,0.9546936,0.95838535,0.95335776,0.9664727,1.0,0.8,0.8,0.8666667,0.43333334,0.84829503,0.76206076,0.73132926,0.7587359,0.2400173,1.0,0.2,0.5,0.6666667,0.016666668,0.2,0.6,0.15,0.13333334,0.56666666,0.8,-0.4,0.35,0.53333336,-0.55,0.81755775,0.3468958,0.54472667,0.48510182,0.105851755,0.7680322,0.54746836,0.669786,0.6114774,0.48043114,0.6,0.3,0.35,0.36666667,0.31666666,0.4,0.7,0.65,0.6333333,0.68333334,0.2,-0.4,-0.3,-0.26666668,-0.36666667,0.6223198,0.45770615,0.5285956,0.4787955,0.38600016,0.3776802,0.54229385,0.4714044,0.52120453,0.61399984,0.24463958,-0.08458772,0.057191197,-0.04240903,-0.22799972,0.6154501,0.6088894,0.58149415,0.55506855,0.5235154,0.24180888,0.17508654,0.16803807,0.15923083,0.15776071,0.7201663,0.96651375,0.9283521,0.9657791,1.0156974,0.5855898,0.53176844,0.5562008,0.56142074,0.50862813,0.4144102,0.46823156,0.44379917,0.43857926,0.49137184,0.17117961,0.063536905,0.11240165,0.12284151,0.017256308
SH688169,0.1635367585649124,1.0,,2026-04-30,-0.011186068,0.029032497,-0.38529474,0.013406167,0.4617642,0.004440261,0.15294108,-0.020151975,-0.69411784,1.0113126,1.0248704,0.9955095,1.007513,1.0202063,0.9667481,1.041105,1.1035415,1.2810721,1.0102546,1.0102459,1.0009195,1.0212896,1.121149,0.011818012,0.021225277,0.022297831,0.035798836,0.11513619,-6.706106e-05,0.0010714855,0.0009623826,-0.0026136488,-0.0061202473,8.049927e-05,0.023360237,0.06519861,0.41310298,0.86181504,-0.0101205,-0.015067652,-0.010062075,0.016608374,0.059398387,1.0433377,1.0784101,1.0784101,1.106288,1.3272748,0.979268,0.95250875,0.94990885,0.94990885,0.94990885,1.0191982,1.0239577,1.0239577,1.0552192,1.2516279,0.9993596,0.9993596,0.98083204,0.9851373,1.0111244,0.4,0.3,0.5,0.33333334,0.16666667,0.3235851,0.3772101,0.3898107,0.32031882,0.13273896,0.4,0.5,0.75,0.06666667,0.18333334,0.2,0.1,0.5,0.6666667,0.8333333,0.2,0.4,0.25,-0.6,-0.65,-0.30508587,0.5109595,0.20886295,-0.4407173,-0.2963567,-0.14253877,0.6968587,0.36232808,0.2152658,0.08758829,0.4,0.4,0.4,0.4,0.41666666,0.6,0.6,0.6,0.6,0.5833333,-0.2,-0.2,-0.2,-0.2,-0.16666667,0.38548326,0.57806003,0.45054147,0.40560898,0.36715204,0.61451674,0.42193994,0.5494585,0.594391,0.63284796,-0.2290335,0.15612012,-0.098917045,-0.188782,-0.26569593,1.0876391,1.2001419,0.96293956,0.8011522,0.7087363,0.25397733,0.45005083,0.43922913,0.43515053,0.34988862,0.6446654,1.4864479,1.4912443,1.6649592,1.60597,0.16488597,0.46054256,0.53432053,0.53015625,0.5010593,0.835114,0.53945744,0.46567947,0.46984375,0.4989407,-0.67022806,-0.07891487,0.06864106,0.060312506,0.0021186078
SZ002938,0.15690354485216684,0.875,,2026-04-30,-0.010573956,0.037627008,-0.2810204,0.02004946,0.5328476,0.0070035905,0.18613201,-0.023619827,-0.627736,1.010687,1.0309507,0.9929216,1.0086138,1.0468203,0.84662724,0.74405694,0.7620369,0.8396283,1.0222517,0.9952938,0.8848618,0.8271751,0.80415106,0.03172228,0.06634797,0.12776214,0.13306871,0.10159325,-0.0047664945,0.013801829,0.020485843,0.013797076,0.0023826456,0.05644291,0.39667007,0.8998526,0.83315146,0.16776022,-0.012718699,-0.05740204,-0.0794773,-0.027232677,0.1255609,1.0827714,1.091791,1.091791,1.091791,1.091791,0.9743125,0.83610034,0.694121,0.6662465,0.6662465,1.042814,1.04892,1.0157355,0.99488354,0.8575359,0.9987209,0.95175576,0.7691082,0.70672137,0.7206468,0.4,0.5,0.75,0.8333333,0.9166667,0.23684095,0.6410075,0.7691778,0.7842974,0.7842974,0.6,0.5,0.75,0.8333333,0.9166667,0.2,0.1,0.15,0.26666668,0.6333333,0.4,0.4,0.6,0.56666666,0.28333333,0.24021398,0.15825458,0.6392703,0.72878104,0.6152397,0.47583622,0.3512397,0.52476114,0.48759493,0.34311557,0.2,0.5,0.6,0.56666666,0.5,0.8,0.5,0.4,0.43333334,0.5,-0.6,0.0,0.2,0.13333334,0.0,0.3841099,0.681209,0.7040601,0.6482707,0.55021536,0.6158901,0.31879094,0.29593992,0.3517293,0.4497846,-0.2317802,0.3624181,0.4081202,0.2965414,0.10043077,1.1127516,1.2458272,1.0925288,0.9619991,0.92739457,0.28446308,0.3039081,0.3230539,0.34173647,0.32702643,0.86509275,0.7672299,0.8861789,0.9672613,0.91291463,0.14269698,0.48631325,0.5227467,0.47410572,0.48894098,0.857303,0.5136868,0.47725335,0.5258943,0.51105905,-0.71460605,-0.027373513,0.04549331,-0.051788583,-0.02211806
SH600066,0.15651565767187692,1.0,,2026-04-30,-0.01856986,0.042128604,-0.44078985,0.019955605,0.47368303,0.0036031376,0.08552711,-0.034922328,-0.82894576,1.0189213,1.0392544,0.9963287,1.0084947,1.0440533,1.0293689,1.0516807,0.87969524,0.914994,1.0189766,1.0239183,1.0338593,0.9980126,0.93621755,0.018021826,0.015403071,0.018654577,0.06321686,0.07821707,-0.010391806,-0.0018602855,-0.0021352584,0.0047763935,0.0035594837,0.8312363,0.13370757,0.45856205,0.4424213,0.6316417,0.00180705,-0.015547017,-0.013574327,-0.06727031,-0.04122229,1.0652337,1.0652337,1.0872632,1.0872632,1.0872632,0.9855983,0.9855983,0.9855983,0.8455238,0.8246241,1.0329828,1.0388566,1.0449007,1.0440533,1.0295382,1.0049684,1.0127652,1.017451,0.91906166,0.8721819,0.2,0.1,0.05,0.3,0.65,0.18084493,0.18084493,0.14165804,0.6390194,0.66774464,0.2,0.6,0.05,0.36666667,0.68333334,0.8,0.9,0.95,0.1,0.28333333,-0.6,-0.3,-0.9,0.26666668,0.4,-0.3965596,0.06759061,0.5301569,0.27421868,0.44080654,-0.626344,-0.00078596844,-0.034198094,0.441374,0.23899214,0.2,0.4,0.35,0.46666667,0.43333334,0.6,0.5,0.55,0.46666667,0.51666665,-0.4,-0.1,-0.2,0.0,-0.083333336,0.13556175,0.3555659,0.39684504,0.6226928,0.5459272,0.86443824,0.6444341,0.60315496,0.37730718,0.45407274,-0.7288765,-0.28886816,-0.20630988,0.24538565,0.091854505,1.2097579,1.1562594,1.3192874,1.4472966,1.1886233,0.250591,0.23885693,0.5002424,0.8506466,0.69047165,0.8699555,0.8137107,1.0645497,1.5527016,1.5290215,0.36106744,0.514589,0.23928083,0.5072052,0.48642316,0.6389325,0.485411,0.7607192,0.49279484,0.51357687,-0.27786508,0.029178025,-0.52143836,0.014410329,-0.027153688
SZ300750,0.1535173217342835,1.0,,2026-04-30,-0.023516268,0.030235179,-0.7777784,0.0067189108,0.22222164,0.0,0.0,-0.030235179,-1.0,1.0240825,1.0309633,1.0,1.0099419,1.0066589,1.0251653,0.9161627,0.90783316,0.76641804,1.0038778,1.0017341,0.96519333,0.9482686,0.8861646,0.016877683,0.014527694,0.053735416,0.050572358,0.07942496,-0.0017612268,0.0008154155,0.0075512254,0.00453618,0.0040925434,0.027223557,0.028878592,0.6911649,0.6235278,0.80978996,-0.00035529482,-0.005403546,-0.036929958,-0.014043208,-0.0068946183,1.0309633,1.0334324,1.0387596,1.0387596,1.0387596,0.9701827,0.95994455,0.8614672,0.8614672,0.7519972,1.0204593,1.0126851,1.0074778,1.0012566,0.9728935,0.9941269,0.9941269,0.90145653,0.90318364,0.80606836,0.6,0.4,0.65,0.76666665,0.8833333,0.49057242,0.54506224,0.78138065,0.78138065,0.86483747,1.0,0.1,0.5,0.6666667,0.8333333,0.6,0.3,0.15,0.43333334,0.016666668,0.4,-0.2,0.35,0.23333333,0.81666666,0.563945,-0.072731316,0.6515949,0.5993408,0.3388651,0.692314,0.25092095,0.53321666,0.5545245,0.43434644,0.4,0.4,0.5,0.5,0.51666665,0.6,0.6,0.5,0.5,0.48333332,-0.2,-0.2,0.0,0.0,0.033333335,0.4707101,0.4406722,0.5992423,0.5801022,0.6198623,0.5292899,0.55932784,0.40075767,0.4198978,0.38013768,-0.058579803,-0.11865565,0.19848469,0.16020441,0.23972465,1.1744312,1.36208,1.3007581,1.2320095,1.1765137,0.1279958,0.31282067,0.40316707,0.38964486,0.37348053,0.51748693,0.6483361,1.0278208,1.0383785,1.1548009,0.37778565,0.3178095,0.5151112,0.5052392,0.49753943,0.6222144,0.68219054,0.4848888,0.4947608,0.5024606,-0.24442871,-0.36438102,0.030222429,0.010478376,-0.004921159
SZ000408,0.13988797456993246,1.0,,2026-04-30,-0.016852047,0.04119397,-0.40909016,0.017733283,0.4304825,0.0066086394,0.16042735,-0.02797669,-0.6791453,1.0171409,1.0351782,0.9932781,1.0098742,0.9779418,0.9684011,0.904978,0.85872185,0.99108666,1.0064582,0.98881483,0.95465857,0.9193149,0.9198469,0.009887593,0.02186988,0.041147728,0.065514304,0.051873453,-0.0010103836,0.0061243763,0.0065944963,0.0071551176,0.00049771764,0.026105462,0.71885693,0.89895844,0.9244064,0.028078612,-0.0044373455,-0.016374536,-0.017306281,-0.02306411,0.06547041,1.0351782,1.0351782,1.0351782,1.0351782,1.039546,0.9725619,0.942204,0.881076,0.77085227,0.77085227,1.0128037,1.008231,0.99525046,0.98018146,0.9627634,0.9988126,0.9693503,0.9134376,0.8704186,0.8864755,0.4,0.7,0.85,0.9,0.93333334,0.4381944,0.6216351,0.77172184,0.86691374,0.8528211,1.0,1.0,1.0,1.0,0.033333335,0.2,0.1,0.15,0.1,0.55,0.8,0.9,0.85,0.9,-0.51666665,0.6526715,-0.16072185,0.33366147,-0.5655404,-0.33452648,0.6349535,0.6231596,0.57610446,0.06996254,-0.05494506,0.4,0.4,0.4,0.46666667,0.45,0.6,0.6,0.6,0.53333336,0.55,-0.2,-0.2,-0.2,-0.06666667,-0.1,0.6156574,0.5959546,0.65302104,0.62265676,0.50396556,0.3843426,0.40404537,0.34697896,0.3773432,0.49603447,0.23131476,0.19190924,0.3060421,0.24531357,0.007931066,0.91584253,0.96983767,0.9453533,1.1672134,1.227839,0.16237219,0.17361571,0.21884377,0.47227216,0.4465934,0.7137707,0.6560777,0.97551024,1.3514495,1.2883662,0.49356526,0.41478896,0.4717845,0.48338234,0.47476035,0.50643474,0.58521104,0.5282155,0.51661766,0.52523965,-0.012869449,-0.17042209,-0.056431003,-0.033235285,-0.050479293
SZ000807,0.13374016986443196,1.0,,2026-04-30,-0.031078584,0.040219463,-0.772725,0.0039610667,0.09848632,0.005179812,0.1287887,-0.029859839,-0.74242264,1.0320754,1.0361636,0.99465406,1.008039,1.0550139,1.1452843,1.0006387,0.9729615,1.0386629,1.0378028,1.0658846,1.0728465,1.0214577,1.0263076,0.028419789,0.043154825,0.0431711,0.08650784,0.071795024,-0.015878225,-0.0131645575,-0.0012122275,0.00696325,0.00062988413,0.7803729,0.8530318,0.027596252,0.50212836,0.023476453,-0.0060464116,-0.0066440967,-0.061330337,-0.122424796,-0.044889156,1.0949557,1.1581931,1.1581931,1.1581931,1.2021874,0.99465406,0.99465406,0.9936972,0.8374092,0.8374092,1.0559165,1.0854247,1.1076858,1.0890611,1.0845135,1.0173728,1.0375559,1.0346605,0.9127698,0.9798765,0.2,0.1,0.05,0.33333334,0.35,0.053298794,0.03268917,0.03831574,0.50685453,0.44572502,0.2,0.1,0.55,0.7,0.033333335,1.0,1.0,0.1,0.13333334,0.56666666,-0.8,-0.9,0.45,0.56666666,-0.53333336,0.18440895,-0.15729685,0.09310165,-0.20825563,0.1840418,-0.13187836,-0.25097984,0.2339983,0.39699012,0.38198003,0.4,0.3,0.45,0.46666667,0.48333332,0.6,0.7,0.55,0.53333336,0.5,-0.2,-0.4,-0.1,-0.06666667,-0.016666668,0.29413643,0.19687267,0.4994438,0.51541036,0.48929045,0.7058636,0.80312735,0.50055623,0.48458964,0.5107096,-0.41172713,-0.6062547,-0.0011124136,0.030820753,-0.021419127,0.85999274,0.7826209,0.8104909,0.8822711,1.016823,0.25910455,0.21025483,0.2052879,0.27399957,0.40735582,0.49158278,0.685201,0.7053167,1.0684171,1.1220367,0.5830667,0.5179913,0.5061535,0.49285272,0.4945383,0.41693327,0.4820087,0.49384648,0.5071473,0.5054617,0.16613343,0.035982627,0.01230703,-0.01429458,-0.0109233735
SH600183,0.1299234927906635,1.0,,2026-04-30,-0.031519,0.052278534,-0.6029052,0.018354429,0.35108924,0.002405102,0.046005536,-0.047468327,-0.9079889,1.0325447,1.0514965,0.99751663,1.0132369,0.97961026,0.8830203,0.72016835,0.82995564,0.95137244,0.99445504,0.97108567,0.87991524,0.8331477,0.8478622,0.026476393,0.04004632,0.11107596,0.11349956,0.08579256,0.011881346,0.011310093,0.01823561,0.011334745,0.00039294388,0.5034469,0.7311704,0.94334054,0.7729242,0.0063982573,-0.018217737,-0.02198111,-0.05315353,0.0024984656,0.14054596,1.0569793,1.0569793,1.0569793,1.0569793,1.0569793,0.9351665,0.87178177,0.6691891,0.6691891,0.6691891,1.0055658,1.0015658,0.994664,0.95534784,0.9055022,0.9898564,0.9410483,0.77317977,0.72120965,0.77317977,0.4,0.7,0.85,0.9,0.95,0.5322389,0.69233227,0.8530666,0.8530666,0.8530666,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.05,0.36666667,0.68333334,0.6,0.8,0.9,0.6,0.3,0.3122932,0.17761712,0.27768824,0.55954146,0.38199162,0.53985333,0.46799773,0.05699395,-8.303101e-05,0.17318411,0.4,0.6,0.75,0.6333333,0.51666665,0.6,0.4,0.25,0.36666667,0.48333332,-0.2,0.2,0.5,0.26666668,0.033333335,0.5840514,0.7384201,0.78045267,0.62266123,0.517659,0.41594863,0.26157987,0.21954732,0.37733877,0.482341,0.16810276,0.47684026,0.56090534,0.2453225,0.03531801,1.2638981,1.3298709,1.3317087,1.1861181,1.0719994,0.20951584,0.19584183,0.27316839,0.32541937,0.29936045,0.7939404,0.6953953,0.7716619,0.8627203,0.86931646,0.2908394,0.4670942,0.5234064,0.5038482,0.5006267,0.70916057,0.5329058,0.4765936,0.4961518,0.49937335,-0.41832116,-0.06581159,0.04681276,0.00769638,0.0012533171
