instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SH600362,0.2292312148344167,1.0,,2026-03-19,-0.011043692,0.046990104,-0.23502165,0.031398904,0.6682025,0.0045475066,0.09677584,-0.03789509,-0.80644834,1.011167,1.0429165,0.99540174,1.0144924,1.128746,1.2059457,1.236394,1.4082953,0.90122265,1.0616878,1.1032605,1.172009,1.2100455,1.1916726,0.040441487,0.05276248,0.08259749,0.10452865,0.14564899,-0.024370646,-0.016550057,-0.012624582,-0.009804601,0.0020855109,0.907862,0.9019033,0.8176518,0.68185323,0.06253307,-0.012946504,-0.028785301,-0.05207551,-0.06787877,-0.25319517,1.1567672,1.1982998,1.3203105,1.5479511,1.5479511,0.99540174,0.99540174,0.99540174,0.99540174,0.87621343,1.0849196,1.1419324,1.2467753,1.2637976,1.3060416,1.0453608,1.0612082,1.1044832,1.1325821,1.0705825,0.2,0.1,0.05,0.033333335,0.15,0.028496105,0.022663055,0.014152552,0.008321951,0.18427815,0.2,0.1,0.35,0.033333335,0.51666665,1.0,1.0,1.0,1.0,0.016666668,-0.8,-0.9,-0.65,-0.96666664,0.5,-0.25922012,-0.13574964,0.44177544,0.59975684,0.48755673,-0.7380288,-0.81067437,0.08704612,0.4104205,0.40993354,0.0,0.1,0.35,0.4,0.51666665,1.0,0.9,0.65,0.6,0.48333332,-1.0,-0.8,-0.3,-0.2,0.033333335,0.0,0.062181585,0.26984143,0.31440723,0.5228255,1.0,0.9378184,0.73015857,0.6855928,0.4771745,-1.0,-0.8756368,-0.46031713,-0.37118557,0.045651007,0.8055618,0.7988177,0.90821606,1.070348,1.3195974,0.22825354,0.21195273,0.3061176,0.6105277,0.6429132,0.9528761,0.90620744,0.9463747,1.6996824,1.3303988,0.6174617,0.55464226,0.5192975,0.43968627,0.50475234,0.3825383,0.44535777,0.48070252,0.5603137,0.4952477,0.2349234,0.10928448,0.03859495,-0.12062745,0.009504645
SH603993,0.20580655514683432,1.0,,2026-03-19,-0.045454547,0.06470584,-0.7024798,0.010695157,0.16528888,0.008556139,0.13223131,-0.047593568,-0.73553735,1.0476191,1.0588235,0.9910364,1.0175122,1.1573905,1.267792,1.3001825,1.5057786,1.0044099,1.0733273,1.1368766,1.2193127,1.2472019,1.2222551,0.04194441,0.075127825,0.10346628,0.10434851,0.12527709,-0.02110706,-0.023500515,-0.014872947,-0.008748298,0.0020524212,0.63306355,0.89694244,0.72321,0.54472375,0.081863366,-0.031113142,-0.031124214,-0.078019656,-0.12035163,-0.2828016,1.1595603,1.2576655,1.3937759,1.6123341,1.6123341,0.9910364,0.9910364,0.9910364,0.9910364,0.9764617,1.0916971,1.2062348,1.3006995,1.3140512,1.3073906,1.06764,1.0867397,1.1031022,1.1834246,1.0877737,0.2,0.1,0.05,0.033333335,0.033333335,0.053188756,0.033618134,0.022256503,0.01442718,0.03701735,0.2,0.1,0.35,0.033333335,0.51666665,1.0,1.0,1.0,1.0,0.016666668,-0.8,-0.9,-0.65,-0.96666664,0.5,-0.5807646,-0.59071445,-0.10942723,0.19667526,0.5099153,-0.93300146,-0.898664,-0.3875021,-0.28389892,-0.018055715,0.2,0.2,0.3,0.4,0.53333336,0.8,0.8,0.7,0.6,0.46666667,-0.6,-0.6,-0.4,-0.2,0.06666667,0.020389248,0.094799824,0.2932551,0.29963854,0.49899018,0.97961074,0.9052002,0.7067449,0.7003615,0.5010098,-0.9592215,-0.81040037,-0.41348982,-0.40072295,-0.002019636,0.6714744,0.59220695,0.58591336,0.6305855,0.5856061,0.24889828,0.21885942,0.18653308,0.24507618,0.21693741,1.2761884,1.1493462,0.93590325,1.1089811,1.2184958,0.63145936,0.6309851,0.5704627,0.49892282,0.52919394,0.36854064,0.36901492,0.42953727,0.5010772,0.47080606,0.2629187,0.2619702,0.14092547,-0.002154326,0.058387857
SZ000338,0.20085836885183794,1.0,,2026-03-19,-0.022185704,0.041084625,-0.54000014,0.013557912,0.32999966,0.005341009,0.13000019,-0.030402606,-0.73999965,1.0226891,1.0365546,0.99453783,1.0099148,1.0588119,1.1726726,1.0911746,0.9978854,0.7499865,1.0361294,1.0827668,1.1255604,1.0932987,0.9537326,0.024005027,0.06124374,0.067411266,0.076788224,0.16740766,-0.0056285337,-0.017881101,-0.009316626,0.002047086,0.008547993,0.13744411,0.7814056,0.6685292,0.055078812,0.79520214,-0.024872266,-0.0023017935,-0.037052453,-0.12298139,-0.20589842,1.0852889,1.2138636,1.2684834,1.2684834,1.2684834,0.99453783,0.99453783,0.99453783,0.9441183,0.71428186,1.0494902,1.1299131,1.1801666,1.1709954,1.1126027,1.025202,1.0365486,1.056124,1.0254564,0.74133855,0.2,0.1,0.05,0.16666667,0.55,0.06018871,0.024904456,0.019938966,0.17228016,0.5155492,0.6,0.1,0.2,0.46666667,0.73333335,1.0,1.0,1.0,0.1,0.05,-0.4,-0.9,-0.8,0.36666667,0.68333334,-0.5329593,0.40898046,0.4757324,0.5066812,0.70429224,-0.5310879,-0.5494649,0.27111623,0.3157657,0.37605658,0.4,0.4,0.4,0.46666667,0.53333336,0.6,0.6,0.6,0.53333336,0.46666667,-0.2,-0.2,-0.2,-0.06666667,0.06666667,0.2697809,0.2602269,0.4452856,0.5008908,0.57212275,0.7302191,0.7397731,0.5547144,0.49910924,0.42787725,-0.4604382,-0.4795462,-0.109428816,0.001781529,0.14424554,0.8763698,1.0422748,1.0866685,1.0026385,0.89730614,0.13956563,0.21776873,0.2214278,0.23664899,0.39176887,1.042293,0.74146813,0.7462531,0.77014583,0.9894334,0.32964918,0.46760973,0.53660613,0.4990208,0.5201457,0.67035085,0.5323903,0.46339387,0.5009792,0.47985426,-0.34070164,-0.064780556,0.073212296,-0.0019583597,0.040291484
SZ000708,0.19736789224597534,1.0,,2026-03-19,-0.02784506,0.03450366,-0.80701756,0.0024213262,0.07017592,0.0042372732,0.12280648,-0.026029114,-0.754387,1.0286427,1.0311333,0.99564135,1.0085508,1.0922599,1.0959389,1.0012736,0.9758031,0.94085187,1.0329136,1.0617518,1.0589147,1.0285695,1.0070422,0.031164479,0.037054718,0.047497936,0.06078476,0.04938568,-0.014079531,-0.010512369,0.0011282972,0.0044012545,0.0017185883,0.51026595,0.73777777,0.019749932,0.40631717,0.36935282,-0.0047545168,-0.014446181,-0.069633536,-0.09238764,-0.057740513,1.111479,1.1115057,1.1419858,1.1419858,1.1419858,0.99564135,0.99564135,0.9614261,0.9197651,0.9197651,1.047347,1.092373,1.0965614,1.092373,1.0467243,1.0119995,1.02598,1.0119995,0.9669733,0.97509557,0.2,0.1,0.2,0.4,0.5833333,0.037627146,0.037618455,0.21363524,0.3610594,0.3610594,0.2,0.1,0.3,0.53333336,0.76666665,1.0,1.0,0.1,0.13333334,0.56666666,-0.8,-0.9,0.2,0.4,0.2,-0.5222739,-0.7920919,0.36130998,0.10044937,0.22841732,-0.84425867,-0.78710276,0.001359494,-0.11239395,-0.08353717,0.4,0.4,0.45,0.53333336,0.55,0.6,0.6,0.55,0.46666667,0.45,-0.2,-0.2,-0.1,0.06666667,0.1,0.16937147,0.21271232,0.49843687,0.5178758,0.532373,0.8306285,0.7872877,0.50156313,0.4821242,0.46762702,-0.6612571,-0.57457536,-0.003126248,0.03575159,0.064745985,1.0850339,0.89445937,1.0121052,1.0461884,0.90389955,0.29243058,0.29176903,0.41215774,0.46824867,0.38692942,1.0529983,1.5087032,1.226519,1.5484604,1.9125389,0.6061862,0.5423091,0.53598994,0.48805696,0.49000755,0.39381376,0.4576909,0.4640101,0.51194304,0.5099925,0.21237245,0.084618196,0.07197983,-0.023886098,-0.019984925
SH600346,0.19127224196580284,1.0,,2026-03-19,-0.058407046,0.07079643,-0.8249999,0.006637163,0.09374997,0.005752217,0.0812501,-0.059291992,-0.8374998,1.0620301,1.0690789,0.993891,1.0182662,1.0563939,1.1926962,1.2072546,1.211017,0.8872122,1.0463501,1.0635505,1.1270846,1.1425292,1.108701,0.03255037,0.05111193,0.07790085,0.06957999,0.10277937,-0.012223449,-0.010476498,-0.010792163,-0.005351166,0.0026563858,0.35254595,0.38512275,0.67173916,0.4583843,0.20373712,-0.021903224,-0.016406225,-0.02455905,-0.064937286,-0.18706441,1.1071638,1.2368622,1.2688068,1.2688068,1.2810279,0.993891,0.993891,0.993891,0.993891,0.859512,1.0767103,1.0767103,1.1934323,1.1971128,1.2073447,1.0289534,1.0357256,1.0453196,1.0714432,1.0342208,0.2,0.1,0.05,0.033333335,0.18333334,0.053931985,0.025143005,0.022221448,0.022221448,0.33329228,0.2,0.2,0.4,0.6,0.46666667,1.0,1.0,1.0,1.0,0.016666668,-0.8,-0.8,-0.6,-0.4,0.45,-0.028319526,-0.259787,-0.20664838,-0.21285821,0.41642347,-0.12660882,-0.4317707,-0.12346994,-0.06584057,0.22521728,0.4,0.3,0.4,0.5,0.53333336,0.6,0.7,0.6,0.5,0.46666667,-0.2,-0.4,-0.2,0.0,0.06666667,0.3446022,0.23444547,0.3565444,0.39611855,0.53252053,0.6553978,0.76555455,0.64345556,0.6038814,0.46747947,-0.3107956,-0.5311091,-0.2869112,-0.2077629,0.06504104,0.7733081,0.84913456,0.7967376,0.76869714,0.6546879,0.25998428,0.26404065,0.27521536,0.25735664,0.25550333,0.8766075,1.147354,1.1386086,1.1467528,1.2945707,0.4545797,0.51300365,0.48768285,0.49972543,0.52788585,0.5454203,0.48699632,0.5123171,0.5002746,0.47211415,-0.090840586,0.02600735,-0.024634283,-0.0005491656,0.055771686
SH600176,0.19030444888661616,1.0,,2026-03-19,-0.042075187,0.04861116,-0.86554587,0.0,0.0,0.0065359725,0.13445415,-0.035539217,-0.7310917,1.0439233,1.0439233,0.99317694,1.0114548,1.130061,1.1680264,1.0938282,0.92963994,0.6481994,1.046993,1.0872922,1.1263347,1.0644654,0.9117369,0.042830803,0.051938623,0.06016645,0.10783168,0.18094519,-0.023154361,-0.01460533,-0.007827238,0.006587352,0.009577244,0.73062277,0.72485876,0.59234726,0.28922164,0.8544504,-0.0006843049,-0.021568222,-0.05197585,-0.15998197,-0.19426563,1.1428479,1.1769692,1.2319849,1.2319849,1.2319849,0.99317694,0.99317694,0.99317694,0.85075235,0.6354055,1.0655875,1.130061,1.1730578,1.1560775,1.1242752,1.0160372,1.0425582,1.0885292,0.9372242,0.74285215,0.2,0.1,0.05,0.33333334,0.6666667,0.045587037,0.037123743,0.0285713,0.39148718,0.6111416,0.2,0.4,0.4,0.6,0.8,1.0,1.0,1.0,0.13333334,0.016666668,-0.8,-0.6,-0.6,0.46666667,0.78333336,-0.10963935,-0.218716,0.4613955,0.39970437,0.6643398,-0.51627827,-0.48145652,0.074549474,0.14054783,0.3140001,0.2,0.2,0.35,0.46666667,0.55,0.8,0.7,0.6,0.5,0.4,-0.6,-0.5,-0.25,-0.033333335,0.15,0.15101236,0.21774371,0.4459657,0.52947336,0.6067227,0.84898764,0.7822563,0.5540343,0.47052667,0.3932773,-0.6979753,-0.56451255,-0.1080686,0.0589467,0.21344544,1.2012849,1.1317579,1.5811913,1.4825574,1.2039828,0.5481771,0.4008848,0.70199424,0.6190508,0.58756393,0.8619231,0.94537336,0.9553859,0.97856903,1.1987995,0.5155913,0.44345412,0.470593,0.4807121,0.5148136,0.48440865,0.5565459,0.529407,0.5192879,0.4851864,0.031182699,-0.113091774,-0.058814,-0.038575802,0.029627228
SH600489,0.18827622615805079,1.0,,2026-03-19,-0.025191616,0.052573953,-0.47916535,0.020810546,0.39583376,0.00657179,0.12500088,-0.039430372,-0.7499983,1.0258427,1.047191,0.99325836,1.0187256,1.1737809,1.1947719,1.1487098,1.4123639,0.8674133,1.0871211,1.1356988,1.1642786,1.1830674,1.0772808,0.05513637,0.06345319,0.066173464,0.09786801,0.16080178,-0.03202678,-0.018480077,-0.0050351555,-0.0054014707,0.0063270815,0.84350985,0.777521,0.20264043,0.23607185,0.47219893,-0.023067616,-0.05253843,-0.11644468,-0.10474608,-0.26392972,1.2015166,1.2119994,1.3295851,1.5535581,1.5535581,0.99325836,0.99325836,0.99325836,0.99325836,0.81275237,1.1104927,1.1827064,1.1957455,1.2143166,1.1929711,1.0677115,1.0957371,1.1042123,1.1178311,0.9064408,0.2,0.1,0.05,0.033333335,0.38333333,0.03237145,0.030820101,0.020044863,0.012032172,0.25276214,0.2,0.4,0.4,0.033333335,0.51666665,1.0,1.0,1.0,1.0,0.016666668,-0.8,-0.6,-0.6,-0.96666664,0.5,-0.7407699,-0.66893303,0.39681226,0.255454,0.37053475,-0.98357177,-0.8669893,0.26134205,0.19292295,0.16097283,0.0,0.2,0.3,0.3,0.5,1.0,0.8,0.7,0.7,0.5,-1.0,-0.6,-0.4,-0.4,0.0,0.0,0.09755823,0.38384107,0.33502936,0.53103185,1.0,0.9024418,0.6161589,0.66497064,0.46896815,-1.0,-0.80488354,-0.23231785,-0.32994127,0.062063694,0.6339474,0.57799065,0.7370753,0.8901666,0.80692583,0.22108105,0.17106375,0.33561057,0.5761527,0.45408377,1.268056,1.5284139,1.5577495,1.4051505,1.3873174,0.76010984,0.6032704,0.53132254,0.47999942,0.51158166,0.23989014,0.3967296,0.46867746,0.5200006,0.48841834,0.52021974,0.20654084,0.06264507,-0.040001165,0.02316334
SZ002001,0.18399797935053272,1.0,,2026-03-19,-0.041899376,0.051675994,-0.81080925,0.004469341,0.08648776,0.0053072786,0.102702975,-0.04106144,-0.79459405,1.0437317,1.0483965,0.99446064,1.0106597,1.1457709,0.97929835,0.8877578,0.8177848,0.71078813,1.0531201,1.0710794,0.9949563,0.9405736,0.8451507,0.052633177,0.04946063,0.09179587,0.110170566,0.12615213,-0.03201179,-0.0063293176,0.012556639,0.011368188,0.0066794856,0.9247847,0.15010871,0.65489024,0.82518834,0.8550603,0.010903417,-0.042597473,-0.11424439,-0.1054123,-0.042195518,1.1644343,1.1717182,1.1717182,1.1717182,1.1717182,0.99446064,0.9717217,0.853352,0.7580174,0.6941659,1.0954541,1.1274054,1.0641419,1.0559784,0.9725353,1.0177274,1.0272877,0.9008154,0.8504949,0.7341137,0.2,0.1,0.55,0.7,0.85,0.032589596,0.14139375,0.46062657,0.5849216,0.64041996,0.4,0.5,0.75,0.8333333,0.9166667,1.0,0.1,0.1,0.13333334,0.016666668,-0.6,0.4,0.65,0.7,0.9,-0.04093649,0.114840314,0.44940966,0.61360914,0.7901858,-0.67038494,0.27434057,0.3669889,0.32693332,0.33544523,0.0,0.4,0.55,0.6333333,0.6,1.0,0.6,0.45,0.36666667,0.36666667,-1.0,-0.2,0.1,0.26666668,0.23333333,0.0,0.53254217,0.6114624,0.63314736,0.65765595,1.0,0.46745786,0.38853756,0.36685264,0.34234405,-1.0,0.065084286,0.22292487,0.26629472,0.31531194,1.2824508,1.3844185,1.312674,1.1716274,0.8640135,0.4586084,0.36016017,0.44805402,0.45383638,0.48291612,0.9774757,1.0589986,1.0756903,1.1532496,1.5302243,0.40408573,0.4934793,0.4960938,0.49886355,0.52251524,0.5959143,0.5065207,0.5039062,0.5011364,0.47748476,-0.19182858,-0.013041386,-0.0078123533,-0.0022728792,0.045030445
SH600015,0.17527900108911096,1.0,,2026-03-19,-0.012465335,0.023545709,-0.52941006,0.0069252625,0.29411992,0.0041551115,0.17647001,-0.0152354855,-0.64706,1.0126227,1.0196353,0.99579245,1.0066599,0.9875425,0.95945644,0.93544734,0.8892412,0.94586635,1.0081993,0.98955834,0.96635336,0.9491204,0.9373424,0.008137317,0.021820307,0.029003939,0.035229772,0.032285396,0.00038505593,0.0065300753,0.0046122666,0.003840432,0.00077329896,0.0055979,0.82096773,0.88508075,0.9209631,0.17497763,-0.00896941,-0.01894366,-0.010169869,-0.00480668,0.03984529,1.0225546,1.0225546,1.0225546,1.0225546,1.0225546,0.9832637,0.9537245,0.9200974,0.88500756,0.88500756,1.0159909,1.0065231,1.0005889,0.9784825,0.95252544,1.0023556,0.96887887,0.9429218,0.92298985,0.90432614,0.2,0.6,0.8,0.8666667,0.93333334,0.4259591,0.6723148,0.77986306,0.83602256,0.83602256,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.3,0.05,0.033333335,0.51666665,0.4,0.5,0.85,0.9,0.45,-0.34056845,0.6423128,0.29092318,0.1555743,-0.11614656,0.46957123,0.34521317,0.42122957,0.42119202,0.06643349,0.4,0.6,0.65,0.6666667,0.51666665,0.6,0.4,0.35,0.3,0.45,-0.2,0.2,0.3,0.36666667,0.06666667,0.62008744,0.7300772,0.6917901,0.7232878,0.5643511,0.37991256,0.2699228,0.30820987,0.27671218,0.4356489,0.2401749,0.4601544,0.38358024,0.44657567,0.12870222,1.1332022,0.97128683,0.9924485,0.96214795,0.8852749,0.20642948,0.23100129,0.28239977,0.28643873,0.35460594,0.8118362,0.8490196,0.896143,0.8992091,1.2326993,0.55894923,0.495514,0.53842837,0.4775535,0.5081509,0.44105074,0.50448596,0.4615716,0.5224465,0.49184912,0.11789851,-0.008971979,0.07685678,-0.044893,0.016301751
SH600482,0.17365775920137347,1.0,,2026-03-19,-0.03324971,0.055834413,-0.59550565,0.0119197015,0.21348307,0.010665003,0.1910113,-0.034504406,-0.61797744,1.0343933,1.0467229,0.9889682,1.0114179,1.1220495,1.1580551,1.001958,0.89230937,0.6568041,1.0399653,1.1226151,1.1025182,1.032387,0.89139926,0.025666604,0.09617804,0.07501041,0.121579595,0.17555106,-0.012988153,-0.030686062,0.00050357025,0.010028911,0.009446186,0.64017385,0.9331295,0.0015774117,0.52733654,0.8830921,-0.013988916,0.015472221,-0.10730216,-0.17780618,-0.17006177,1.1129695,1.2739041,1.2739041,1.2739041,1.2739041,0.9889682,0.9889682,0.9889682,0.8216341,0.6311414,1.055303,1.218884,1.1644948,1.1150876,1.068117,1.0244534,1.046666,1.0469923,0.89074296,0.7023822,0.2,0.1,0.05,0.33333334,0.6666667,0.08896527,0.03871681,0.03871681,0.39437926,0.5738644,0.2,0.1,0.55,0.7,0.85,1.0,1.0,1.0,0.06666667,0.033333335,-0.8,-0.9,-0.45,0.6333333,0.81666666,0.20976254,0.4588825,0.33329,0.57927465,0.64803815,-0.4059976,-0.506817,-0.073182315,0.3348183,0.4347801,0.2,0.2,0.45,0.46666667,0.53333336,0.8,0.8,0.55,0.53333336,0.45,-0.6,-0.6,-0.1,-0.06666667,0.083333336,0.13285333,0.31787416,0.49867454,0.55086315,0.6156101,0.8671467,0.68212587,0.5013255,0.44913688,0.38438988,-0.73429334,-0.3642517,-0.0026509392,0.10172626,0.23122025,0.9458514,1.0937557,1.137046,1.0632678,0.9248578,0.23492014,0.25822538,0.22419378,0.3900192,0.42144877,0.76438713,0.74882746,0.737764,0.815035,1.0547379,0.29500642,0.44427243,0.35843113,0.49373907,0.52061814,0.70499355,0.5557276,0.64156884,0.50626093,0.47938183,-0.40998715,-0.11145517,-0.2831377,-0.012521839,0.041236334
