instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ002371,0.18949535190153702,0.875,,2026-04-09,0.02568325,0.04336222,0.5922955,0.011193065,0.25812942,0.006485905,0.14957502,0.02097609,0.48374116,0.97495985,1.0109128,0.9686364,0.9957464,0.9528147,0.9817258,0.9770525,1.04898,1.0277683,0.94126916,0.9497519,0.9576996,0.9644966,1.0030271,0.046886813,0.035017204,0.028176496,0.02883799,0.05060177,0.022673722,0.00025107816,-0.0012236659,-0.0014278181,-0.0024391199,0.58463424,0.00047126625,0.06601153,0.18998422,0.7086548,0.013383368,0.049118206,0.053925257,0.05620676,0.06892693,1.0109128,1.0109128,1.0109128,1.054542,1.1293446,0.8930085,0.8930085,0.8930085,0.8930085,0.8930085,0.98500866,0.98331684,0.9813538,0.9853119,1.0522294,0.9008872,0.92143154,0.93966514,0.94355184,0.9578548,1.0,1.0,1.0,0.96666664,0.55,0.9074437,0.9074437,0.9074437,0.6623491,0.45270908,1.0,1.0,1.0,0.033333335,0.13333334,0.6,0.8,0.9,0.93333334,0.96666664,0.4,0.2,0.1,-0.9,-0.8333333,0.82451946,0.67005825,0.5181735,0.3576411,0.5522754,0.7919392,0.772265,0.7270125,0.49633136,0.39956746,0.4,0.5,0.4,0.4,0.45,0.6,0.5,0.6,0.6,0.55,-0.2,0.0,-0.2,-0.2,-0.1,0.648328,0.5305546,0.52481073,0.46283928,0.4882812,0.35167202,0.46944544,0.4751893,0.53716075,0.5117188,0.29665598,0.061109137,0.049621418,-0.074321456,-0.023437606,0.9085405,0.81200194,0.7661263,0.7704333,0.8865744,0.3902127,0.28671727,0.22546317,0.20487013,0.28742144,1.394179,1.3056599,1.4010895,1.2942058,1.2566614,0.5798979,0.5111526,0.52995247,0.5112026,0.47591224,0.42010212,0.48884737,0.47004753,0.4887974,0.5240878,0.15979575,0.022305269,0.059904955,0.022405205,-0.048175532
SZ002384,0.18533664715737727,0.75,,2026-04-09,0.030468736,0.04523434,0.67357534,0.0,0.0,0.014765605,0.3264247,0.04523434,1.0,0.97043216,1.0,0.95610315,0.99164426,0.8263778,0.82038873,0.7945429,0.6028836,0.61781114,0.8758439,0.8353804,0.8365902,0.798212,0.6894897,0.079569325,0.069220155,0.052447684,0.07603919,0.122742265,0.045989636,0.018759543,0.001694225,0.006236708,0.0061169975,0.835158,0.6732724,0.036522258,0.5213599,0.75750965,0.03217684,0.0802017,0.1473147,0.11135576,0.13005887,1.0,1.0,1.0,1.0,1.0,0.79453796,0.7492744,0.7492744,0.60424626,0.50932413,0.92727566,0.85232764,0.8535855,0.83871186,0.8194849,0.8222725,0.7892357,0.7974524,0.72297233,0.5772976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.6,0.033333335,0.36666667,0.8,0.8,0.4,0.96666664,0.6333333,0.35170215,0.06431521,0.05671784,-0.21913716,0.45384043,0.5010658,0.49271122,0.25122014,0.31136534,0.23367937,0.6,0.5,0.6,0.6333333,0.6166667,0.4,0.5,0.4,0.36666667,0.38333333,0.2,0.0,0.2,0.26666668,0.23333333,0.8637259,0.75315684,0.64248174,0.69813824,0.63597494,0.13627413,0.24684317,0.35751826,0.30186173,0.36402506,0.72745174,0.5063136,0.2849635,0.39627653,0.27194986,0.5742262,0.61598545,0.7955369,0.8523547,0.7004899,0.2800384,0.19871269,0.26841822,0.24619778,0.24899653,1.109771,1.027633,0.8150668,0.808832,1.0125945,0.5767304,0.53099066,0.50281966,0.5369078,0.52043736,0.42326966,0.46900937,0.49718034,0.46309218,0.47956267,0.1534607,0.061981283,0.0056392998,0.07381563,0.040874664
SZ002463,0.1558162920987477,0.875,,2026-04-09,0.013698608,0.03495514,0.39189106,0.014997695,0.42905545,0.006258839,0.17905346,0.0049597523,0.14188907,0.9864865,1.0147951,0.9803122,0.9998914,0.9236965,0.96134484,0.89982027,0.90402734,0.85857606,0.9294858,0.9238619,0.9475746,0.93577015,0.8842083,0.055450663,0.039749887,0.048301775,0.049381122,0.066907674,0.03132326,0.0049199667,-0.0026375812,0.0003750782,0.0025045692,0.7977383,0.1404313,0.104364686,0.004471193,0.42737988,0.007867654,0.053998206,0.07748238,0.058791235,0.041906863,1.0147951,1.0147951,1.0946054,1.0946054,1.0946054,0.8775843,0.8775843,0.87397844,0.8096562,0.75700325,0.98351675,0.9474362,0.98509175,0.9799353,0.9473427,0.8889896,0.8889896,0.8901906,0.8889896,0.81491554,1.0,1.0,0.9,0.93333334,0.96666664,0.892173,0.892173,0.5711975,0.66799206,0.7197725,1.0,1.0,0.25,0.5,0.75,0.6,0.8,0.05,0.26666668,0.36666667,0.4,0.2,0.2,0.23333333,0.38333333,0.9912721,0.79851675,0.81973463,0.77494043,0.6652145,0.9753853,0.5766097,0.568462,0.39839324,0.31869072,0.8,0.6,0.6,0.53333336,0.51666665,0.2,0.4,0.4,0.46666667,0.48333332,0.6,0.2,0.2,0.06666667,0.033333335,0.7601765,0.56451803,0.5791657,0.55336076,0.54582316,0.23982355,0.435482,0.42083433,0.44663924,0.45417687,0.5203529,0.12903601,0.15833133,0.106721535,0.09164628,0.69756866,0.6704144,0.881488,0.86224085,0.7697182,0.2679172,0.20374222,0.34835294,0.32142964,0.28716767,1.4443505,1.1211536,0.905457,1.0573847,1.0953814,0.7621516,0.53837955,0.5525937,0.4811837,0.5101089,0.23784842,0.46162045,0.44740632,0.5188163,0.48989108,0.5243032,0.07675912,0.105187364,-0.0376326,0.020217814
SZ002028,0.14282410181955732,1.0,,2026-04-09,-9.869388e-05,0.03226449,-0.003058901,0.019338919,0.59938705,0.012826879,0.397554,-0.0066107344,-0.20489195,1.0000987,1.0194396,0.9871718,1.0009689,1.0311813,1.0502248,1.0901914,1.1046972,0.7395899,1.0151265,1.0184865,1.0270169,1.0548294,0.9952198,0.020664355,0.017776458,0.023354406,0.04701058,0.09720962,-0.008195026,-0.0025354,-0.0020195756,-0.0041808984,0.0036780979,0.39318502,0.18647215,0.26172823,0.6129848,0.4366444,0.0012635912,-0.007077178,-0.007830921,0.005793692,-0.10372369,1.0510652,1.05812,1.0877734,1.1797904,1.1797904,0.9769085,0.9769085,0.9769085,0.9769085,0.7363824,1.0337858,1.0337858,1.0430709,1.1002654,1.0789012,0.99755263,0.99932903,1.004025,1.0155503,0.92978007,0.4,0.3,0.2,0.13333334,0.45,0.31138778,0.2843376,0.20828468,0.11381733,0.594526,0.2,0.1,0.25,0.23333333,0.6166667,0.6,0.8,0.9,0.93333334,0.016666668,-0.4,-0.7,-0.65,-0.7,0.6,-0.6352826,-0.70568675,-0.14038855,0.10674659,-0.113687366,-0.5712491,-0.475831,-0.33619574,-0.44713894,0.09743268,0.4,0.3,0.35,0.4,0.46666667,0.6,0.7,0.65,0.6,0.53333336,-0.2,-0.4,-0.3,-0.2,-0.06666667,0.3466052,0.3676576,0.39882562,0.42659393,0.5844966,0.6533948,0.6323424,0.60117435,0.57340604,0.41550338,-0.30678958,-0.26468477,-0.20234874,-0.14681213,0.16899323,1.0442262,0.93772835,1.0224236,1.0725632,1.1579335,0.3666185,0.3162232,0.2796916,0.28001505,0.3948115,1.0365386,0.98179847,0.77102077,0.8167314,1.2093194,0.530996,0.51013696,0.47337466,0.5144477,0.5077943,0.469004,0.48986307,0.52662534,0.48555228,0.49220565,0.06199201,0.02027389,-0.053250644,0.028895432,0.01558868
SH601601,0.1386764476897489,1.0,,2026-04-09,-0.030632908,0.033417694,-0.91666734,0.0,0.0,0.0027847853,0.08333266,-0.027848123,-0.8333347,1.031601,1.031601,0.99712723,1.0053757,1.0004851,1.0022632,1.0310379,1.099903,1.2365018,1.0032008,0.9880375,1.0055125,1.0150502,1.0890317,0.02468421,0.025371369,0.03224169,0.03197605,0.081787705,0.0038797383,0.0058274306,-0.0026399654,-0.0022598305,-0.0042683436,0.06175988,0.4835906,0.23465452,0.38708267,0.83069676,-0.010960267,-0.014260963,0.019567203,0.017717406,0.036884427,1.0488206,1.0488206,1.0754701,1.1046677,1.2636224,0.9688872,0.9430586,0.9430586,0.9430586,0.9430586,1.0104753,1.0009053,1.0349499,1.0422891,1.1689298,0.99311346,0.9686389,0.9725509,0.9801811,1.0025219,0.6,0.7,0.45,0.33333334,0.16666667,0.38923386,0.53839195,0.43003362,0.35234034,0.17762889,0.8,0.9,0.2,0.033333335,0.016666668,0.6,0.3,0.65,0.76666665,0.8833333,0.2,0.6,-0.45,-0.73333335,-0.8666667,0.6195469,0.07072059,-0.015007367,0.19721328,0.24222435,0.6191942,0.20193413,0.08200808,-0.04745076,-0.044081762,0.4,0.5,0.5,0.43333334,0.38333333,0.6,0.5,0.45,0.53333336,0.6,-0.2,0.0,0.05,-0.1,-0.21666667,0.49829334,0.49512523,0.46116498,0.41095102,0.3869921,0.50170666,0.50487477,0.538835,0.589049,0.6130079,-0.0034133215,-0.009749509,-0.077670015,-0.17809798,-0.22601582,0.73095495,0.80776954,0.7690818,0.83236504,0.88870364,0.3474014,0.27762982,0.23707399,0.23993814,0.29167864,1.2413002,1.1497668,1.1613147,1.0685722,1.0928789,0.5722656,0.57342994,0.5246674,0.51420695,0.48518175,0.42773435,0.42657003,0.47533262,0.48579308,0.51481825,0.1445313,0.14685994,0.04933478,0.028413856,-0.029636497
SH688169,0.13733972511135334,1.0,,2026-04-09,-0.032996822,0.033166524,-0.9948833,0.0,0.0,0.0001697024,0.005116677,-0.03282712,-0.98976666,1.0341228,1.0341228,0.9998245,1.0125359,1.0575553,1.0954422,1.1798303,1.3220156,1.4148427,1.0183017,1.0424776,1.0804248,1.1188672,1.2259446,0.021623794,0.030313505,0.050209716,0.07220086,0.1241632,-0.004711666,-0.008656049,-0.008093594,-0.007918598,-0.006799072,0.118693024,0.7474438,0.9094426,0.9322096,0.91456234,-0.00887834,-0.0035253481,-0.0035356309,-0.004047504,-0.025371954,1.0568411,1.1034245,1.1912317,1.3279029,1.4492214,0.9969317,0.9969317,0.9969317,0.9969317,0.9969317,1.0414556,1.069027,1.1226969,1.1789864,1.3343354,1.0007032,1.0058017,1.0421413,1.0565356,1.0925633,0.2,0.1,0.05,0.033333335,0.016666668,0.051216334,0.028812665,0.01579179,0.009270731,0.0067840265,0.2,0.1,0.05,0.033333335,0.016666668,0.6,0.8,0.9,0.93333334,0.96666664,-0.4,-0.7,-0.85,-0.9,-0.95,-0.35121828,-0.7333725,0.24527217,0.24244404,0.53294235,0.062941566,0.14366753,-0.22246422,-0.35837296,-0.14054513,0.2,0.3,0.3,0.33333334,0.41666666,0.8,0.7,0.7,0.6666667,0.5833333,-0.6,-0.4,-0.4,-0.33333334,-0.16666667,0.29523078,0.2632726,0.23944457,0.21912971,0.3102318,0.70476925,0.73672736,0.76055545,0.7808703,0.6897682,-0.40953848,-0.47345474,-0.5211109,-0.5617406,-0.3795364,0.7556229,0.6328367,0.7416471,0.74291193,0.90559494,0.20533076,0.1981278,0.29028493,0.25902545,0.36163738,0.7244801,1.0177908,1.0269086,0.9197881,0.8740831,0.6690348,0.6694762,0.54866374,0.5359229,0.48285177,0.33096522,0.33052382,0.4513363,0.4640771,0.5171482,0.33806956,0.33895236,0.097327426,0.07184583,-0.03429645
SH601998,0.13186421623676395,1.0,,2026-04-09,-0.008423622,0.021660674,-0.38889012,0.00962694,0.44444323,0.0036101122,0.16666667,-0.014440449,-0.6666667,1.0084952,1.0182039,0.9963592,1.0037678,1.0076833,1.0035461,0.89066195,0.88002366,0.9042553,1.0074468,1.0084516,0.9798759,0.9460205,0.9249902,0.0058597196,0.005114947,0.03755212,0.057518188,0.047543835,-0.0027777806,-0.0008990617,0.005502674,0.0061931172,0.0017272169,0.5618006,0.2832097,0.75153065,0.8984831,0.40253642,-0.0018912611,-0.0044057705,-0.032151304,-0.0358207,0.02405694,1.0232403,1.0295366,1.0295366,1.0295366,1.0295366,0.9833704,0.9833704,0.88617384,0.8615139,0.8615139,1.0102837,1.0112293,1.0079197,1.0076833,0.97257686,1.0037825,1.0047282,0.9548464,0.8804965,0.8821513,0.2,0.1,0.5,0.6666667,0.8333333,0.41709596,0.36021078,0.7939728,0.82421046,0.82421046,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.9,0.05,0.16666667,0.5833333,-0.6,-0.4,0.7,0.6666667,0.33333334,0.33177778,0.50189805,-0.2986519,0.07182742,-0.06741025,0.2020155,0.101206504,0.369162,0.22625142,0.11008591,0.6,0.5,0.65,0.6,0.5,0.4,0.4,0.3,0.36666667,0.46666667,0.2,0.1,0.35,0.23333333,0.033333335,0.38181832,0.47115394,0.771261,0.7221007,0.5840249,0.6181817,0.5288461,0.22873905,0.27789935,0.4159751,-0.23636337,-0.057692133,0.5425219,0.44420132,0.1680498,1.2485731,1.5371512,2.0644445,1.9358132,2.079396,0.36554042,0.48147914,0.7775628,0.751522,0.7624917,0.54996026,0.9546284,1.2905954,1.2921299,1.09617,0.3274637,0.3164622,0.4864565,0.4846107,0.45149574,0.6725363,0.68353784,0.5135435,0.51538926,0.5485043,-0.34507263,-0.36707562,-0.02708697,-0.030778563,-0.097008534
SH601988,0.1298182317078749,1.0,,2026-04-09,-0.008710812,0.017421624,-0.5,0.005226463,0.2999986,0.0034843492,0.2000014,-0.010452926,-0.5999972,1.0087874,1.0140598,0.99648505,1.0024552,1.0319728,0.9755102,0.9421769,0.92993194,0.9823129,1.0191836,1.0116327,0.98578227,0.97043085,0.95865077,0.016714476,0.02228102,0.031675372,0.034181017,0.028618626,-0.0102721,0.0029231126,0.0045368527,0.003444492,0.0008826146,0.94421923,0.15777287,0.71801573,0.7870133,0.2900978,0.0013605362,-0.024786636,-0.02888239,-0.020375954,0.01531209,1.0494915,1.0494915,1.0494915,1.0494915,1.0494915,0.9895103,0.9704045,0.9353123,0.9227872,0.9192718,1.027347,1.0319728,1.0204082,1.0017687,0.9755102,1.0070748,0.99346936,0.95877546,0.9421769,0.9367347,0.2,0.4,0.7,0.8,0.9,0.17488314,0.3742145,0.56654537,0.60939366,0.61993843,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.1,0.4,0.1,0.23333333,-0.6,0.5,0.4,0.76666665,0.7,0.3713818,0.4837543,0.30882546,0.41986686,0.28243423,-0.01864524,0.68483186,0.38040054,0.40834066,0.2505785,0.2,0.4,0.55,0.53333336,0.46666667,0.8,0.5,0.35,0.36666667,0.43333334,-0.6,-0.1,0.2,0.16666667,0.033333335,0.21686783,0.6046514,0.64505136,0.6317136,0.51825845,0.78313214,0.39534864,0.35494867,0.36828637,0.48174155,-0.56626433,0.20930274,0.29010266,0.2634273,0.03651688,1.1822118,1.3861127,1.3498696,1.269618,1.2665594,0.17106912,0.56705433,0.46262428,0.49272728,0.41686758,0.5306348,1.5166583,1.4061732,1.4235377,1.3152965,0.2794795,0.45797318,0.5223545,0.5063447,0.46464562,0.7205205,0.5420268,0.47764552,0.49365532,0.5353544,-0.441041,-0.08405363,0.04470895,0.012689327,-0.070708774
SH601825,0.11629693958345726,1.0,,2026-04-09,-0.006593405,0.020879097,-0.31578973,0.007692288,0.3684205,0.006593405,0.31578973,-0.007692288,-0.3684205,1.0066372,1.0143805,0.99336284,1.0013399,1.0116763,0.98165137,0.942452,0.9249374,1.0233527,1.0080067,1.0030024,0.9891576,0.9707534,0.9623853,0.010105182,0.011409915,0.01814194,0.030539818,0.030097062,-0.005170977,0.0016175117,0.0023528375,0.0032121683,0.00053248974,0.65463156,0.184222,0.588687,0.85736424,0.09547159,0.0023353116,-0.010281268,-0.011509558,-0.017329818,0.02190626,1.0288844,1.0304725,1.0304725,1.0304725,1.0304725,0.98676,0.9756292,0.93920285,0.9147109,0.90716773,1.0140116,1.0116763,1.0068389,0.9986655,0.99432856,0.9996664,0.99332774,0.97547954,0.93678063,0.9327773,0.4,0.5,0.75,0.8333333,0.8833333,0.3143065,0.44437116,0.6661266,0.73676497,0.7528683,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.1,0.05,0.16666667,0.33333334,-0.6,0.4,0.7,0.6666667,0.5833333,0.42271876,0.19157231,-0.13330154,0.06541862,-0.25544992,0.18433645,0.62447613,0.086180955,-0.0061693033,0.07183838,0.4,0.6,0.55,0.6,0.43333334,0.6,0.4,0.45,0.4,0.5,-0.2,0.2,0.1,0.2,-0.06666667,0.3870973,0.5916667,0.63745034,0.6339287,0.47885197,0.6129027,0.4083333,0.36254963,0.3660713,0.521148,-0.22580539,0.18333337,0.27490073,0.26785737,-0.042296078,1.405181,1.6157318,1.6289574,1.5888917,1.8992873,0.2934048,0.43632936,0.4612856,0.46475604,0.7973191,0.32060233,0.4667174,0.80325145,0.82874995,1.0462111,0.24380368,0.47702768,0.4952706,0.4796277,0.4708341,0.7561963,0.5229723,0.5047294,0.52037233,0.52916586,-0.51239264,-0.045944627,-0.009458806,-0.04074462,-0.05833177
SZ300122,0.11214937958985909,1.0,,2026-04-09,-0.010126613,0.028480953,-0.35555738,0.017721465,0.6222216,0.00063287513,0.022220995,-0.027215203,-0.955558,1.0102302,1.0281329,0.9993606,1.0113965,1.0243808,0.9661163,1.0326358,1.1241121,1.249376,1.0023421,0.98757917,0.99943846,1.0139854,1.0852115,0.014547201,0.027401512,0.03516942,0.040787123,0.09252503,0.0034459592,0.006688894,-0.0024152098,-0.0029276584,-0.0046728067,0.14028183,0.5462242,0.1650621,0.39929724,0.7779237,-0.009234019,-0.017679198,0.02350603,0.028465638,0.05263631,1.0281329,1.0282174,1.073545,1.1234878,1.3356963,0.9546712,0.92394775,0.92394775,0.92394775,0.92394775,1.0111922,1.0111922,1.0346899,1.0368401,1.1322902,0.9960453,0.9647341,0.9666538,0.97039735,1.0031292,0.4,0.6,0.45,0.33333334,0.16666667,0.6170393,0.7293799,0.5083801,0.38113776,0.18470554,1.0,0.5,0.05,0.033333335,0.083333336,0.6,0.2,0.6,0.73333335,0.8666667,0.4,0.3,-0.55,-0.7,-0.78333336,-0.44562477,0.79073143,0.17322668,-0.06853476,0.49334368,-0.08669867,0.67937595,0.39657146,0.22129422,0.49256253,0.4,0.5,0.4,0.43333334,0.45,0.6,0.5,0.6,0.56666666,0.55,-0.2,0.0,-0.2,-0.13333334,-0.1,0.3824073,0.5725442,0.4610627,0.3949975,0.4110639,0.6175927,0.42745578,0.5389373,0.60500246,0.5889361,-0.23518538,0.14508845,-0.0778746,-0.21000497,-0.17787218,1.2792658,1.1413798,1.0003561,0.94721997,1.278282,0.25343058,0.46731406,0.40399918,0.37313256,0.9353226,0.43653968,1.2778639,1.2936329,1.2870876,2.7788854,0.24581443,0.5332909,0.5345259,0.49256042,0.5013898,0.75418556,0.46670908,0.4654741,0.5074396,0.4986102,-0.5083712,0.06658186,0.06905179,-0.014879194,0.002779591
