instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ003816,0.19855532356743968,1.0,,2026-04-01,-0.021645026,0.043290053,-0.5,0.017316021,0.4,0.0043290053,0.1,-0.034632042,-0.8,1.0221239,1.039823,0.99557525,1.0161763,0.998106,0.91856056,0.8958333,0.8617424,0.8541667,1.0162879,0.9795454,0.957481,0.9287879,0.8918876,0.010251795,0.04686029,0.04202972,0.05433124,0.053811353,-0.0043560546,0.013360886,0.0051392694,0.005533926,0.0026217825,0.45136395,0.7451986,0.5233085,0.80402434,0.7240113,-0.0075757587,-0.03966942,-0.0063040974,-0.009029793,0.030769808,1.039823,1.039823,1.039823,1.039823,1.039823,0.98166996,0.9002433,0.89992917,0.8465909,0.8289125,1.0208334,1.0174242,1.003409,0.97386366,0.9295454,1.0136364,0.92499995,0.91856056,0.8719697,0.8503788,0.2,0.6,0.8,0.8666667,0.93333334,0.31520334,0.7146934,0.715334,0.79391104,0.81118524,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.05,0.1,0.06666667,0.8,0.8,0.95,0.9,0.93333334,0.008714091,0.35912254,0.5424872,0.67394155,0.7042779,-0.4504462,0.07446764,0.21471688,0.102951236,0.21770819,0.6,0.6,0.6,0.56666666,0.5,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.16666667,0.1,0.51515174,0.7529411,0.6845637,0.6891191,0.6270627,0.48484826,0.2470589,0.31543633,0.3108809,0.37293735,0.030303502,0.5058822,0.36912733,0.3782382,0.2541253,1.0280147,1.0621865,0.9270151,0.8258578,0.6801345,0.24953945,0.3518727,0.29806727,0.31390437,0.2855555,0.70264286,0.9368683,1.0030203,1.1024802,1.2738774,0.30122197,0.61596286,0.5262103,0.58556545,0.5404175,0.69877803,0.38403714,0.4737897,0.41443455,0.4595825,-0.39755607,0.23192571,0.052420627,0.17113093,0.08083497
SH601998,0.16635232159537255,1.0,,2026-04-01,0.0048426343,0.027845047,0.17391367,0.021791814,0.78261006,0.0012105986,0.043476265,-0.01573858,-0.5652201,0.9951807,1.0216868,0.99397594,1.0071812,0.99589443,0.95131963,0.8621701,0.9120235,0.8938416,1.0017595,0.9848094,0.94120234,0.9206061,0.9107136,0.0046552923,0.023152828,0.05162618,0.05208589,0.040166806,-0.002111442,0.0063236435,0.008466473,0.0050820885,0.0010117508,0.51428574,0.68381417,0.94131094,0.7378124,0.19351397,0.0024633477,-0.013265791,-0.021633856,0.005703642,0.059439752,1.0216868,1.0216868,1.0216868,1.0216868,1.0216868,0.9842749,0.9345223,0.8601571,0.8549452,0.8549452,1.0037537,1.0004692,0.99765396,0.9874487,0.94263935,0.9994135,0.9578886,0.88222873,0.8728446,0.8754252,0.5,0.75,0.875,0.9166667,0.9583333,0.4203229,0.75119704,0.86574113,0.8699377,0.8699377,1.0,1.0,1.0,1.0,1.0,0.4,0.3,0.05,0.33333334,0.6666667,0.6,0.7,0.95,0.6666667,0.33333334,0.71372306,-0.37359315,0.40679905,0.4250367,0.14593047,-0.05706714,0.20060843,0.15957871,0.02458392,0.086951755,0.4,0.5,0.7,0.53333336,0.5,0.4,0.4,0.25,0.4,0.46666667,0.0,0.1,0.45,0.13333334,0.033333335,0.5714286,0.7426901,0.8466079,0.652439,0.58898723,0.42857143,0.2573099,0.1533921,0.347561,0.41101277,0.14285715,0.4853802,0.6932158,0.304878,0.17797445,0.94683695,1.1970353,1.1039286,1.0099809,1.1412191,0.21989617,0.35792896,0.37335703,0.3820702,0.40003008,1.0577407,1.3231273,1.2340568,1.2017711,1.0007696,0.3024935,0.3762881,0.48241043,0.5237692,0.51574063,0.6975065,0.6237119,0.51758957,0.4762308,0.48425937,-0.395013,-0.24742383,-0.035179116,0.047538392,0.03148129
SH601939,0.16004637712398112,1.0,,2026-04-01,-0.013569916,0.02505215,-0.5416667,0.009394557,0.375,0.0020876792,0.083333336,-0.020876793,-0.8333333,1.0137566,1.0232804,0.9978836,1.0085043,0.9936387,0.97667515,0.9414758,0.9491094,0.96183205,1.0044105,0.99512297,0.9783079,0.96082836,0.9532584,0.0097844135,0.013484047,0.021357559,0.03147005,0.02781109,0.0026717568,0.0031948003,0.0033974906,0.003334683,0.0005487224,0.1864079,0.5145865,0.8856892,0.87019366,0.11873238,-0.009754033,-0.009499585,-0.010584041,-0.0091812825,0.030554285,1.0239537,1.0239537,1.0239537,1.0239537,1.0239537,0.98478186,0.963752,0.93196464,0.9014411,0.9014411,1.0089059,1.0011874,0.9970314,0.9926208,0.9789652,0.99830365,0.9877015,0.9582697,0.93002546,0.9223919,0.6,0.8,0.9,0.93333334,0.96666664,0.3884964,0.602109,0.73960245,0.8044795,0.8044795,0.8,0.9,0.95,0.96666664,0.98333335,0.6,0.3,0.05,0.26666668,0.6333333,0.2,0.6,0.9,0.7,0.35,0.290159,-0.46949792,0.149615,0.1098219,-0.14255893,-0.18864281,-0.4061835,-0.030616732,0.030459033,0.056078453,0.6,0.7,0.75,0.56666666,0.53333336,0.4,0.3,0.25,0.4,0.45,0.2,0.4,0.5,0.16666667,0.083333336,0.5609752,0.60073256,0.66046494,0.5996678,0.53919864,0.4390248,0.39926746,0.33953506,0.4003322,0.4608014,0.12195041,0.20146509,0.32092988,0.1993356,0.07839724,0.8338496,0.8926184,0.8248642,0.8354537,0.85901064,0.1512446,0.17205308,0.18608905,0.25392637,0.21638472,0.8020412,0.762309,0.84511775,1.0155132,0.90310043,0.61340266,0.5804926,0.47159368,0.50763625,0.51673996,0.38659734,0.4195074,0.5284063,0.49236375,0.48326004,0.22680534,0.16098519,-0.05681265,0.015272514,0.033479914
SZ002371,0.155251267086336,1.0,,2026-04-01,-0.010259211,0.024648476,-0.4162209,0.013268894,0.53832513,0.0011203714,0.04545398,-0.022407733,-0.909092,1.0103656,1.023772,0.998868,1.0125042,1.0303429,1.026459,0.9961607,1.0718496,1.018825,1.0056884,1.0095682,1.0137765,1.026625,1.0566207,0.020477638,0.022304444,0.01793128,0.0312937,0.048716165,0.0006345009,-0.0016256124,-0.0010566779,-0.0023205867,-0.0018420499,0.002400185,0.048692565,0.1215432,0.4261706,0.4360702,-0.006957424,-0.0022529885,-0.003738048,0.007023423,-0.0022802136,1.0432409,1.0521399,1.0521399,1.1090958,1.1852721,0.9644225,0.9644225,0.9644225,0.9644225,0.9644225,1.0124816,1.0323495,1.0308667,1.0487761,1.1043379,0.9917715,0.9894267,0.9974929,0.99829173,1.013347,0.6,0.5,0.3,0.26666668,0.13333334,0.45138556,0.4055925,0.4055925,0.24591601,0.16109377,0.6,0.2,0.6,0.16666667,0.21666667,0.4,0.7,0.85,0.9,0.95,0.2,-0.5,-0.25,-0.73333335,-0.73333335,0.73448086,0.49026617,0.23770462,0.21883321,0.52445054,0.812611,0.6540496,0.34012774,0.320911,0.28056526,0.6,0.5,0.45,0.46666667,0.48333332,0.4,0.5,0.55,0.53333336,0.51666665,0.2,0.0,-0.1,-0.06666667,-0.033333335,0.39673427,0.44992068,0.5047022,0.43899423,0.49191308,0.60326576,0.5500793,0.4952978,0.5610058,0.5080869,-0.2065315,-0.10015863,0.009404405,-0.122011535,-0.016173812,1.0505614,1.0689521,1.0618781,1.0946748,1.3332274,0.1423639,0.21638887,0.21405767,0.24553403,0.42758572,0.61369544,0.80975556,0.923337,0.8983848,1.0834594,0.32743758,0.49300447,0.49985164,0.51657104,0.49269453,0.6725624,0.5069955,0.50014836,0.48342893,0.50730544,-0.3451248,-0.013991046,-0.0002966899,0.033142123,-0.014610932
SH601018,0.13390433291124404,1.0,,2026-04-01,-0.014563099,0.03398059,-0.4285711,0.009708708,0.28571334,0.009708782,0.28571552,-0.014563025,-0.42856896,1.0147784,1.0246305,0.9901477,1.0027786,1.0211267,1.0246478,1.0352112,1.0211267,0.9049296,1.0137323,1.0107394,1.0277288,1.0273474,0.9800469,0.010370899,0.016357355,0.022754177,0.020998545,0.058328863,-0.006338028,-0.00022407237,-0.0029294176,-0.00066505786,0.0028209125,0.9337175,0.0017201323,0.58010733,0.07773958,0.7133654,-0.0010563155,-0.009731092,0.00010061753,-0.017704057,-0.06326385,1.0384009,1.0384009,1.072183,1.072183,1.072183,0.9901477,0.9661972,0.9661972,0.9661972,0.8919023,1.0183098,1.0225352,1.0475352,1.0475352,1.0295775,1.0070422,1.0,1.0144366,1.0151408,0.9066901,0.2,0.25,0.125,0.11666667,0.475,0.20417847,0.4681588,0.318937,0.318937,0.5996074,0.8,0.9,0.15,0.43333334,0.71666664,1.0,0.3,0.65,0.76666665,0.033333335,-0.2,0.6,-0.5,-0.33333334,0.68333334,-0.40158498,-0.667643,-0.02232519,0.19230089,0.1797,-0.6309116,-0.71128416,-0.68418586,-0.26605603,0.11154792,0.2,0.4,0.45,0.43333334,0.5,0.6,0.5,0.4,0.4,0.35,-0.4,-0.1,0.05,0.033333335,0.15,0.2,0.41250005,0.42647064,0.46875,0.58709675,0.8,0.5875,0.57352936,0.53125,0.41290325,-0.6,-0.17499991,-0.14705873,-0.062499974,0.1741935,0.8500589,0.9432399,0.99309856,1.1526453,1.2349335,0.100309215,0.21938826,0.20283991,0.41265407,0.5433493,0.67320174,1.1719353,1.1262441,1.1686417,1.3491101,0.5351047,0.53834814,0.354989,0.49126214,0.5053497,0.46489534,0.46165186,0.645011,0.50873786,0.4946503,0.07020935,0.07669626,-0.29002202,-0.017475707,0.010699398
SH603296,0.13026583299140332,0.875,,2026-04-01,0.06836368,0.07078793,0.9657533,0.0,0.0,0.0024242527,0.034246698,0.07078793,1.0,0.93601084,1.0,0.93374175,0.98474455,1.0375512,1.00639,0.9836699,0.9668665,1.043468,0.95755756,0.9756547,0.9870818,0.99347585,1.0098795,0.03685265,0.038650047,0.033683576,0.032433897,0.04913476,-0.0019958902,-0.004143357,-0.0018985026,-0.0013807113,-0.0016610582,0.0073329015,0.10534551,0.11118701,0.14044595,0.34857142,0.046434227,0.042990364,0.030953925,0.026544489,0.039121687,1.0375824,1.0478756,1.0533159,1.0580094,1.1258255,0.9048083,0.9048083,0.9048083,0.9048083,0.9048083,0.9873146,1.0027454,1.0120858,1.0151625,1.0487692,0.9288103,0.9434521,0.9597034,0.9727674,0.96582514,1.0,0.8,0.6,0.5,0.41666666,0.7169447,0.66536283,0.640989,0.62135166,0.43069825,0.2,0.5,0.35,0.23333333,0.11666667,0.8,0.9,0.95,0.96666664,0.98333335,-0.6,-0.4,-0.6,-0.73333335,-0.8666667,0.7133515,0.30369782,0.066516995,0.201942,0.37275884,0.9142927,0.69766825,0.5427938,0.6053365,0.54340315,0.2,0.3,0.4,0.36666667,0.4,0.8,0.7,0.6,0.6333333,0.6,-0.6,-0.4,-0.2,-0.26666668,-0.2,0.41438866,0.49139953,0.51351357,0.5209665,0.48262158,0.58561134,0.5086005,0.48648646,0.47903353,0.5173784,-0.17122272,-0.017200958,0.02702709,0.04193296,-0.034756824,0.6566638,0.606937,0.50533026,0.4907927,0.500406,0.2149567,0.22898303,0.2036534,0.19208407,0.17091222,1.0647591,1.09662,1.2504113,1.2979722,1.3257706,0.6222916,0.66556,0.61054176,0.5615595,0.5359576,0.3777084,0.33444,0.38945824,0.43844053,0.4640424,0.2445832,0.33111998,0.2210835,0.12311895,0.07191521
SH600938,0.12704755284289784,1.0,,2026-04-01,-0.011511866,0.0427219,-0.2694605,0.027628569,0.64670736,0.0035814678,0.08383212,-0.035558965,-0.83233577,1.0116459,1.0395963,0.9963768,1.0173693,1.0502311,1.0327506,1.1091019,0.8882862,0.73277074,1.0442034,1.0624473,1.0679526,1.0358516,0.92577523,0.027348597,0.028917551,0.028573338,0.06992129,0.1296542,-0.014627293,-0.008329222,-0.0022875154,0.0044586407,0.0068523656,0.71515113,0.7604967,0.22432317,0.3151286,0.8519375,-0.014948759,-0.024965763,-0.046221193,-0.10050188,-0.12792003,1.0921617,1.1180819,1.1527004,1.1527004,1.1527004,0.9963768,0.9963768,0.9963768,0.877538,0.7291159,1.06305,1.0865582,1.0875226,1.0875226,1.0642556,1.0281293,1.0472172,1.0478601,0.958931,0.77239305,0.2,0.1,0.05,0.26666668,0.6333333,0.03782622,0.029770147,0.02317741,0.44505337,0.63950413,0.6,0.3,0.15,0.43333334,0.71666664,1.0,1.0,1.0,0.033333335,0.016666668,-0.4,-0.7,-0.85,0.4,0.7,-0.7428122,0.4634565,0.5722989,0.75873935,0.6390184,-0.6405129,0.18910691,0.5408417,0.72913253,0.56776005,0.6,0.5,0.4,0.46666667,0.53333336,0.4,0.5,0.6,0.53333336,0.46666667,0.2,0.0,-0.2,-0.06666667,0.06666667,0.17447902,0.41412014,0.39505216,0.56075174,0.5912459,0.825521,0.58587986,0.6049478,0.43924823,0.40875408,-0.6510419,-0.17175974,-0.20989566,0.1215035,0.18249184,0.8360259,1.1063565,1.4278378,1.4253346,1.1283572,0.10626696,0.34655464,0.56864786,0.81591207,0.6905385,1.0823011,1.3761193,1.169892,1.4174984,1.5322151,0.31922975,0.47442904,0.3574057,0.52013737,0.51434827,0.6807702,0.525571,0.64259434,0.47986263,0.48565173,-0.36154047,-0.051141925,-0.28518862,0.040274754,0.028696544
SH601872,0.12195654177387188,0.875,,2026-04-01,0.07913667,0.07913667,1.0,0.0,0.0,0.0,0.0,0.07913667,1.0,0.9266667,1.0,0.9266667,0.9944176,0.96714514,1.0012759,0.9840511,0.68452954,0.49505582,0.9464115,0.95626795,0.93893147,0.90866566,0.75327486,0.034158338,0.0316533,0.040811166,0.0972772,0.17552155,0.010430623,-0.0011773262,0.002577014,0.0064572184,0.0092689665,0.2331133,0.012681394,0.13955443,0.34148413,0.85055333,0.032727253,0.049030002,0.036586914,-0.0022953048,-0.026709404,1.0,1.0293624,1.0293624,1.0915471,1.0915471,0.8843307,0.8843307,0.8529297,0.6668312,0.48098996,0.95993626,0.9849442,0.97224885,0.9817545,0.94481665,0.9235726,0.93135566,0.90813404,0.8664753,0.61377996,1.0,0.9,0.9,0.9,0.95,1.0,0.7975448,0.83357716,0.784451,0.85005975,1.0,0.5,0.75,0.3,0.65,0.8,0.9,0.35,0.033333335,0.016666668,0.2,-0.4,0.4,0.26666668,0.6333333,0.59092575,0.69092464,0.21323529,0.62403876,0.8094654,0.54365987,0.69112855,0.6566795,0.40686584,0.41067597,0.4,0.4,0.35,0.46666667,0.5,0.6,0.6,0.65,0.53333336,0.48333332,-0.2,-0.2,-0.3,-0.06666667,0.016666668,0.58428806,0.4982993,0.51075727,0.61236084,0.6336767,0.41571194,0.5017007,0.48924273,0.3876392,0.36632326,0.16857614,-0.003401379,0.021514546,0.22472164,0.26735348,0.79479504,0.94441366,1.070817,1.1136717,0.8327615,0.13350317,0.2015091,0.28272966,0.4026729,0.41653323,1.0090679,0.7770742,0.8380572,0.86723995,1.159909,0.42207688,0.41005874,0.41904718,0.5333164,0.5324032,0.5779231,0.58994126,0.5809528,0.46668363,0.46759683,-0.15584624,-0.17988254,-0.16190565,0.06663275,0.064806335
SH600039,0.12192954607748403,1.0,,2026-04-01,-0.06429274,0.07319486,-0.87837774,0.0049456586,0.06756839,0.003956468,0.0540539,-0.06528193,-0.8918922,1.0687103,1.0739958,0.9957717,1.0252519,1.0475563,1.0232285,1.0718839,1.0412545,1.0518062,1.046076,1.0330769,1.0470287,1.0449158,1.0513666,0.027157877,0.026956394,0.03068736,0.028096713,0.02831737,-0.008133651,0.0037481897,-0.0025798702,-0.0002365534,-0.000537801,0.22424325,0.17722744,0.24736868,0.0054935,0.11001128,-0.029808769,-0.049943727,-0.022519877,-0.041485824,-0.035501465,1.0856247,1.0856247,1.1236998,1.1236998,1.1257895,0.9957717,0.9841627,0.9841627,0.9841627,0.9841627,1.0651132,1.0534623,1.062783,1.064483,1.0735546,1.0380449,1.0084414,1.0230234,1.0230234,1.0264527,0.2,0.2,0.1,0.06666667,0.033333335,0.04705815,0.15609083,0.11349877,0.11349877,0.11182408,0.8,0.9,0.1,0.4,0.16666667,1.0,0.3,0.65,0.76666665,0.8833333,-0.2,0.6,-0.55,-0.36666667,-0.71666664,-0.78334236,-0.5644879,-0.007886997,0.2550948,0.15981427,-0.680905,-0.64350575,-0.45463875,-0.26140904,-0.32513797,0.4,0.5,0.45,0.5,0.48333332,0.4,0.4,0.45,0.43333334,0.48333332,0.0,0.1,0.0,0.06666667,0.0,0.22890586,0.44714913,0.41004962,0.45959523,0.47036636,0.77109414,0.5528509,0.5899504,0.54040474,0.52963364,-0.5421883,-0.10570176,-0.17990075,-0.080809504,-0.05926727,0.6112301,0.57485515,0.58469594,0.5672651,0.60990924,0.23647825,0.16718791,0.16512252,0.17579566,0.19963287,1.7676034,1.2413465,1.2295467,1.2868333,1.1910628,0.71152234,0.5949093,0.546932,0.5658614,0.52861947,0.2884777,0.4050907,0.45306802,0.43413863,0.47138056,0.42304465,0.18981862,0.09386395,0.13172276,0.057238903
SH600600,0.11739634315552688,0.875,,2026-04-01,0.018503597,0.019147217,0.96638566,0.0,0.0,0.0006436207,0.03361432,0.019147217,1.0,0.98183256,1.0,0.98120064,0.992827,0.99006534,0.9979621,0.970366,0.98853695,0.9777532,0.9858538,0.9845631,0.9896026,0.98597264,0.9827404,0.008607835,0.010612948,0.012055307,0.0115990415,0.012447873,0.002504878,0.0005640164,-0.00027599375,0.0004039089,0.0002552198,0.21170218,0.02588945,0.018344674,0.09397759,0.12821484,0.009136449,0.012898787,0.013019317,0.008170649,0.009730634,1.0,1.0015919,1.0192711,1.0192711,1.0192711,0.9695455,0.95103097,0.95103097,0.95103097,0.94791746,0.98953897,0.99072766,0.99891317,0.9969432,0.9938694,0.98133653,0.98133653,0.98261017,0.9766494,0.9735247,1.0,1.0,0.85,0.9,0.9166667,1.0,0.9685157,0.7175981,0.7175981,0.7299207,1.0,0.1,0.45,0.6333333,0.81666666,0.4,0.4,0.7,0.8,0.35,0.6,-0.3,-0.25,-0.16666667,0.46666667,0.86879593,-0.38327324,0.1949705,0.32674533,0.24360129,0.8718825,-0.34975436,-0.11430459,-0.094926804,0.26391044,0.4,0.4,0.5,0.46666667,0.46666667,0.6,0.6,0.5,0.53333336,0.53333336,-0.2,-0.2,0.0,-0.06666667,-0.06666667,0.6131533,0.5091604,0.5888945,0.52607185,0.52109504,0.38684675,0.49083957,0.41110548,0.47392815,0.47890496,0.2263065,0.018320836,0.177789,0.052143715,0.042190064,0.704831,0.76599306,0.76079977,0.7087403,0.7260528,0.17060186,0.2264368,0.1960796,0.20096827,0.29614094,1.2131957,1.1411107,1.2605046,1.3030474,2.0154393,0.6325851,0.5553411,0.53820527,0.5579949,0.52998376,0.36741492,0.44465888,0.46179473,0.44200507,0.47001627,0.2651702,0.11068222,0.07641055,0.11598985,0.059967462
